season,team_name,location,stadium_name,stadium_capacity,average_attendance,manager_name,promoted,captain
2021/2022,Norwich City,Norwich,Carrow Road,27244,26885,Dean Smith,True,Grant Hanley
2021/2022,Southampton,Southampton,St Mary's Stadium,32384,29939,Ralph Hasenhüttl,False,James Ward-Prowse
2021/2022,Tottenham Hotspur,London (Tottenham),Tottenham Hotspur Stadium,62850,56523,Antonio Conte,False,Hugo Lloris
2021/2022,Watford,Watford,Vicarage Road,22200,20612,Roy Hodgson,True,Troy Deeney
2021/2022,West Ham United,London (Stratford),London Stadium,60000,57915,David Moyes,False,Mark Noble
2021/2022,Wolverhampton Wanderers,Wolverhampton,Molineux Stadium,32050,30725,Bruno Lage,False,Conor Coady
2022/2023,Arsenal,London (Holloway),Emirates Stadium,60704,60196,Mikel Arteta,False,Martin Ødegaard
2022/2023,Aston Villa,Birmingham,Villa Park,42657,41679,Unai Emery,False,John McGinn
2022/2023,Bournemouth,Bournemouth,Dean Court,11307,10313,Gary O'Neil,True,Neto
2022/2023,Brentford,London (Brentford),Brentford Community Stadium,17250,17064,Thomas Frank,False,Pontus Jansson
2022/2023,Brighton & Hove Albion,Falmer,Falmer Stadium,31780,31480,Roberto De Zerbi,False,Lewis Dunk
2022/2023,Chelsea,London (Fulham),Stamford Bridge,40343,39995,Graham Potter,False,César Azpilicueta
2022/2023,Crystal Palace,London (Selhurst),Selhurst Park,25486,25602,Roy Hodgson,False,Luka Milivojević
2022/2023,Everton,Liverpool (Walton),Goodison Park,39414,39232,Sean Dyche,False,Séamus Coleman
2022/2023,Fulham,London (Fulham),Craven Cottage,22384,23867,Marco Silva,True,Tom Cairney
2022/2023,Leeds United,Leeds,Elland Road,37608,36549,Sam Allardyce,False,Liam Cooper
2022/2023,Leicester City,Leicester,King Power Stadium,32262,31850,Dean Smith,False,Jonny Evans
2022/2023,Liverpool,Liverpool (Anfield),Anfield,53394,53176,Jürgen Klopp,False,Jordan Henderson
2022/2023,Manchester City,Manchester (Bradford),City of Manchester Stadium,53400,53236,Pep Guardiola,False,İlkay Gündoğan
2022/2023,Manchester United,Manchester (Old Trafford),Old Trafford,74310,73832,Erik ten Hag,False,Harry Maguire
2022/2023,Newcastle United,Newcastle upon Tyne,St James' Park,52305,52126,Eddie Howe,False,Jamaal Lascelles
2022/2023,Nottingham Forest,West Bridgford,City Ground,30332,29170,Steve Cooper,True,Joe Worrall
2022/2023,Southampton,Southampton,St Mary's Stadium,32384,30553,Rubén Sellés,False,James Ward-Prowse
2022/2023,Tottenham Hotspur,London (Tottenham),Tottenham Hotspur Stadium,62850,61579,Antonio Conte,False,Hugo Lloris
2022/2023,West Ham United,London (Stratford),London Stadium,62500,62461,David Moyes,False,Declan Rice
2022/2023,Wolverhampton Wanderers,Wolverhampton,Molineux Stadium,31750,31499,Julen Lopetegui,False,Rúben Neves
