team_name,location,stadium_name,stadium_capacity,average_attendance,manager_name,promoted,captain
Arsenal,London (Holloway),Emirates Stadium,60338,60013,Arsène Wenger,FALSE,Thomas Vermaelen
Aston Villa,Birmingham,Villa Park,42682,36080,Paul Lambert,FALSE,Ron Vlaar
Cardiff City,Cardiff,Cardiff City Stadium,27815,27429,Ole Gunnar Solskjær,TRUE,David Marshall
Chelsea,London (Fulham),Stamford Bridge,41798,41481,José Mourinho,FALSE,John Terry
Crystal Palace,London (Selhurst),Selhurst Park,26255,24377,Tony Pulis,TRUE,Mile Jedinak
Everton,Liverpool (Walton),Goodison Park,39571,37731,Roberto Martínez,FALSE,Phil Jagielka
Fulham,London (Fulham),Craven Cottage,25700,24977,Felix Magath,FALSE,Brede Hangeland
Hull City,Kingston upon Hull,KC Stadium,25400,24116,Steve Bruce,TRUE,Robert Koren
Liverpool,Liverpool (Anfield),Anfield,45276,44672,Brendan Rodgers,FALSE,Steven Gerrard
Manchester City,Manchester (Bradford),City of Manchester Stadium,47405,47080,Manuel Pellegrini,FALSE,Vincent Kompany
Manchester United,Manchester (Old Trafford),Old Trafford,75731,75206,David Moyes,FALSE,Nemanja Vidić
Newcastle United,Newcastle upon Tyne,St James' Park,52405,50395,Alan Pardew,FALSE,Fabricio Coloccini
Norwich City,Norwich,Carrow Road,27244,26805,Neil Adams,FALSE,Russell Martin
Southampton,Southampton,St Mary's Stadium,32589,30211,Mauricio Pochettino,FALSE,Adam Lallana
Stoke City,Stoke-on-Trent,Britannia Stadium,27740,26137,Mark Hughes,FALSE,Ryan Shawcross
Sunderland,Sunderland,Stadium of Light,48707,41089,Gus Poyet,FALSE,John O'Shea
Swansea City,Swansea,Liberty Stadium,20750,20406,Garry Monk,FALSE,Ashley Williams
Tottenham Hotspur,London (Tottenham),White Hart Lane,36284,35808,Tim Sherwood,FALSE,Michael Dawson
West Bromwich Albion,West Bromwich,The Hawthorns,26445,25194,Pepe Mel,FALSE,Chris Brunt
West Ham United,London (Upton Park),Boleyn Ground,35016,34196,Sam Allardyce,FALSE,Kevin Nolan
