team_name,location,stadium_name,stadium_capacity,average_attendance,manager_name,promoted,captain
Arsenal,London (Holloway),Emirates Stadium,60704,59776,Mikel Arteta,FALSE,Alexandre Lacazette
Aston Villa,Birmingham,Villa Park,42682,41838,Steven Gerrard,FALSE,Tyrone Mings
Brentford,London (Brentford),Brentford Community Stadium,17250,16912,Thomas Frank,TRUE,Pontus Jansson
Brighton & Hove Albion,Falmer,Falmer Stadium,31800,30988,Graham Potter,FALSE,Lewis Dunk
Burnley,Burnley,Turf Moor,21944,19189,Sean Dyche,FALSE,Ben Mee
Chelsea,London (Fulham),Stamford Bridge,40834,36424,Thomas Tuchel,FALSE,César Azpilicueta
Crystal Palace,London (Selhurst),Selhurst Park,25486,24282,Patrick Vieira,FALSE,Luka Milivojević
Everton,Liverpool (Walton),Goodison Park,39414,38441,Frank Lampard,FALSE,Séamus Coleman
Leeds United,Leeds,Elland Road,37792,36308,Jesse Marsch,FALSE,Liam Cooper
Leicester City,Leicester,King Power Stadium,32312,32061,Brendan Rodgers,FALSE,Kasper Schmeichel
Liverpool,Liverpool (Anfield),Anfield,53394,53027,Jürgen Klopp,FALSE,Jordan Henderson
Manchester City,Manchester (Bradford),City of Manchester Stadium,53400,52739,Pep Guardiola,FALSE,Fernandinho
Manchester United,Manchester (Old Trafford),Old Trafford,74140,72992,Ralf Rangnick (interim),FALSE,Harry Maguire
Newcastle United,Newcastle upon Tyne,St James' Park,52305,51487,Eddie Howe,FALSE,Jamaal Lascelles
Norwich City,Norwich,Carrow Road,27244,26885,Dean Smith,TRUE,Grant Hanley
Southampton,Southampton,St Mary's Stadium,32384,29939,Ralph Hasenhüttl,FALSE,James Ward-Prowse
Tottenham Hotspur,London (Tottenham),Tottenham Hotspur Stadium,62850,56523,Antonio Conte,FALSE,Hugo Lloris
Watford,Watford,Vicarage Road,22200,20612,Roy Hodgson,TRUE,Troy Deeney
West Ham United,London (Stratford),London Stadium,60000,57915,David Moyes,FALSE,Mark Noble
Wolverhampton Wanderers,Wolverhampton,Molineux Stadium,32050,30725,Bruno Lage,FALSE,Conor Coady
