team_name,location,stadium_name,stadium_capacity,average_attendance,manager_name,promoted,captain
Arsenal,London (Holloway),Emirates Stadium,60361,60000,Arsène Wenger,FALSE,Robin van Persie
Aston Villa,Birmingham,Villa Park,42785,33873,Alex McLeish,FALSE,Stiliyan Petrov
Blackburn Rovers,Blackburn,Ewood Park,31154,22551,Steve Kean,FALSE,Paul Robinson
Bolton Wanderers,Bolton,Reebok Stadium,28100,23670,Owen Coyle,FALSE,Kevin Davies
Chelsea,London (Fulham),Stamford Bridge,42449,41478,Roberto Di Matteo,FALSE,John Terry
Everton,Liverpool (Walton),Goodison Park,40157,33228,David Moyes,FALSE,Phil Neville
Fulham,London (Fulham),Craven Cottage,25700,25294,Martin Jol,FALSE,Danny Murphy
Liverpool,Liverpool (Anfield),Anfield,45276,44253,Kenny Dalglish,FALSE,Steven Gerrard
Manchester City,Manchester (Bradford),City of Manchester Stadium,47405,47045,Roberto Mancini,FALSE,Vincent Kompany
Manchester United,Manchester (Old Trafford),Old Trafford,75811,75387,Sir Alex Ferguson,FALSE,Nemanja Vidić
Newcastle United,Newcastle upon Tyne,St James' Park,52409,49936,Alan Pardew,FALSE,Fabricio Coloccini
Norwich City,Norwich,Carrow Road,27183,26606,Paul Lambert,TRUE,Grant Holt
Queens Park Rangers,London (Shepherd's Bush),Loftus Road,18439,17295,Mark Hughes,TRUE,Joey Barton
Stoke City,Stoke-on-Trent,Britannia Stadium,27740,27226,Tony Pulis,FALSE,Ryan Shawcross
Sunderland,Sunderland,Stadium of Light,49000,39095,Martin O'Neill,FALSE,Lee Cattermole
Swansea City,Swansea,Liberty Stadium,20520,19946,Brendan Rodgers,TRUE,Garry Monk
Tottenham Hotspur,London (Tottenham),White Hart Lane,36230,36026,Harry Redknapp,FALSE,Ledley King
West Bromwich Albion,West Bromwich,The Hawthorns,27877,24798,Roy Hodgson,FALSE,Chris Brunt
Wigan Athletic,Wigan,DW Stadium,25133,18634,Roberto Martínez,FALSE,Gary Caldwell
Wolverhampton Wanderers,Wolverhampton,Molineux Stadium,27828,25682,Terry Connor,FALSE,Roger Johnson
