team_name,location,stadium_name,stadium_capacity,average_attendance,manager_name,promoted,captain
Arsenal,London (Holloway),Emirates Stadium,60355,59927,Arsène Wenger,FALSE,Cesc Fàbregas
Aston Villa,Birmingham (Aston),Villa Park,42788,38573,Martin O'Neill,FALSE,Stiliyan Petrov
Birmingham City,Birmingham (Bordesley),St Andrew's,30009,25246,Alex McLeish,TRUE,Stephen Carr
Blackburn Rovers,Blackburn,Ewood Park,31367,25428,Sam Allardyce,FALSE,Ryan Nelsen
Bolton Wanderers,Bolton,Reebok Stadium,28723,21881,Owen Coyle,FALSE,Kevin Davies
Burnley,Bumley,Turf Moor,22546,20654,Brian Laws,TRUE,Steven Caldwell
Chelsea,London (Fulham),Stamford Bridge,42055,41423,Carlo Ancelotti,FALSE,John Terry
Everton,Liverpool (Walton),Goodison Park,40157,36725,David Moyes,FALSE,Phil Neville
Fulham,London (Fulham),Craven Cottage,25700,23909,Roy Hodgson,FALSE,Danny Murphy
Hull City,Kingston upon Hull,KC Stadium,25404,24390,Iain Dowie,FALSE,Anthony Gardner
Liverpool,Liverpool (Anfield),Anfield,45276,42864,Rafael Benítez,FALSE,Steven Gerrard
Manchester City,Manchester (Bradford),City of Manchester Stadium,55097,45513,Roberto Mancini,FALSE,Kolo Touré
Manchester United,Trafford (Old Trafford),Old Trafford,76212,74864,Sir Alex Ferguson,FALSE,Gary Neville
Portsmouth,Portsmouth,Fratton Park,20688,18249,Avram Grant,FALSE,David James
Stoke City,Stoke-on-Trent,Britannia Stadium,28383,27162,Tony Pulis,FALSE,Abdoulaye Faye
Sunderland,Sunderland,Stadium of Light,49000,40355,Steve Bruce,FALSE,Lorik Cana
Tottenham Hotspur,London (Tottenham),White Hart Lane,36240,35794,Harry Redknapp,FALSE,Ledley King
West Ham United,London (Upton Park),Boleyn Ground,35309,33683,Gianfranco Zola,FALSE,Matthew Upson
Wigan Athletic,Wigan,DW Stadiumbl,25138,18006,Roberto Martínez,FALSE,Mario Melchiot
Wolverhampton Wanderers,Wolverhampton,Molineux Stadium,29303,28366,Mick McCarthy,TRUE,Karl Henry
