team_name,location,stadium_name,stadium_capacity,average_attendance,manager_name,promoted,captain
Arsenal,London (Holloway),Emirates Stadium,60432,59955,Arsène Wenger,FALSE,Laurent Koscielny
Bournemouth,Bournemouth,Dean Court,11464,11182,Eddie Howe,FALSE,Simon Francis
Burnley,Burnley,Turf Moor,22546,20558,Sean Dyche,TRUE,Tom Heaton
Chelsea,London (Fulham),Stamford Bridge,41623,41502,Antonio Conte,FALSE,John Terry
Crystal Palace,London (Selhurst),Selhurst Park,26309,25174,Sam Allardyce,FALSE,Scott Dann
Everton,Liverpool (Walton),Goodison Park,39572,39046,Ronald Koeman,FALSE,Phil Jagielka
Hull City,Kingston upon Hull,KCOM Stadium,25404,20761,Marco Silva,TRUE,Michael Dawson
Leicester City,Leicester,King Power Stadium,32500,31893,Claudio Ranieri,FALSE,Wes Morgan
Liverpool,Liverpool (Anfield),Anfield,54074,53016,Jürgen Klopp,FALSE,Jordan Henderson
Manchester City,Manchester (Bradford),City of Manchester Stadium,55097,54018,Pep Guardiola,FALSE,Vincent Kompany
Manchester United,Manchester (Old Trafford),Old Trafford,76100,75289,José Mourinho,FALSE,Wayne Rooney
Middlesbrough,Middlesbrough,Riverside Stadium,35100,30449,Aitor Karanka,TRUE,Grant Leadbitter
Southampton,Southampton,St Mary's Stadium,32689,30936,Claude Puel,FALSE,Steven Davis
Stoke City,Stoke-on-Trent,Bet365 Stadium[a],28383,27456,Mark Hughes,FALSE,Ryan Shawcross
Sunderland,Sunderland,Stadium of Light,49000,41286,David Moyes,FALSE,John O'Shea
Swansea City,Swansea,Liberty Stadium,20972,20619,Paul Clement,FALSE,Leon Britton
Tottenham Hotspur,London (Tottenham),White Hart Lane,32000,31639,Mauricio Pochettino,FALSE,Hugo Lloris
Watford,Watford,Vicarage Road,21977,20571,Walter Mazzarri,FALSE,Troy Deeney
West Bromwich Albion,West Bromwich,The Hawthorns,26500,23902,Tony Pulis,FALSE,Darren Fletcher
West Ham United,London (Stratford),London Stadium[c],57000,56971,Slaven Bilić,FALSE,Mark Noble
