team_name,location,stadium_name,stadium_capacity,average_attendance,manager_name,promoted,captain
Arsenal,London (Holloway),Emirates Stadium,60260,59943,Arsène Wenger,FALSE,Mikel Arteta
Aston Villa,Birmingham,Villa Park,42660,34479,Eric Black (caretaker),FALSE,Micah Richards
Bournemouth,Bournemouth,Dean Court,11464,11188,Eddie Howe,TRUE,Tommy Elphick
Chelsea,London (Fulham),Stamford Bridge,41798,41499,Guus Hiddink (caretaker),FALSE,John Terry
Crystal Palace,London (Selhurst),Selhurst Park,25073,24596,Alan Pardew,FALSE,Mile Jedinak
Everton,Liverpool (Walton),Goodison Park,39571,38051,Roberto Martínez,FALSE,Phil Jagielka
Leicester City,Leicester,King Power Stadium,32312,32020,Claudio Ranieri,FALSE,Wes Morgan
Liverpool,Liverpool (Anfield),Anfield,44742,43901,Jürgen Klopp,FALSE,Jordan Henderson
Manchester City,Manchester (Bradford),City of Manchester Stadium,55097,54020,Manuel Pellegrini,FALSE,Vincent Kompany
Manchester United,Manchester (Old Trafford),Old Trafford,75653,75268,Louis van Gaal,FALSE,Wayne Rooney
Newcastle United,Newcastle upon Tyne,St James' Park,52338,49464,Rafael Benítez,FALSE,Fabricio Coloccini
Norwich City,Norwich,Carrow Road,27010,26972,Alex Neil,TRUE,Russell Martin
Southampton,Southampton,St Mary's Stadium,32505,30750,Ronald Koeman,FALSE,José Fonte
Stoke City,Stoke-on-Trent,Britannia Stadium,27740,27534,Mark Hughes,FALSE,Ryan Shawcross
Sunderland,Sunderland,Stadium of Light,48707,43071,Sam Allardyce,FALSE,John O'Shea
Swansea City,Swansea,Liberty Stadium,20909,20710,Francesco Guidolin,FALSE,Ashley Williams
Tottenham Hotspur,London (Tottenham),White Hart Lane,36284,35807,Mauricio Pochettino,FALSE,Hugo Lloris
Watford,Watford,Vicarage Road,21500,20571,Quique Sánchez Flores,TRUE,Troy Deeney
West Bromwich Albion,West Bromwich,The Hawthorns,26850,24488,Tony Pulis,FALSE,Darren Fletcher
West Ham United,London (Upton Park),Boleyn Ground[a],35345,34906,Slaven Bilić,FALSE,Mark Noble
