team_name,location,stadium_name,stadium_capacity,average_attendance,manager_name,promoted,captain
Arsenal,London (Holloway),Emirates Stadium,60361,60024,Arsène Wenger,FALSE,Cesc Fàbregas
Aston Villa,Birmingham (Aston),Villa Park,42789,37194,Gérard Houllier,FALSE,Stiliyan Petrov
Birmingham City,Birmingham (Bordesley),St Andrew's,30079,25462,Alex McLeish,FALSE,Stephen Carr
Blackburn Rovers,Blackburn,Ewood Park,31367,25000,Steve Kean,FALSE,Ryan Nelsen
Blackpool,Blackpool,Bloomfield Road,16220,15780,Ian Holloway,TRUE,Charlie Adam
Bolton Wanderers,Bolton,Reebok Stadium,28723,22870,Owen Coyle,FALSE,Kevin Davies
Chelsea,London (Fulham),Stamford Bridge,42449,41435,Carlo Ancelotti,FALSE,John Terry
Everton,Liverpool (Walton),Goodison Park,40157,36039,David Moyes,FALSE,Phil Neville
Fulham,London (Fulham),Craven Cottage,25700,25043,Mark Hughes,FALSE,Danny Murphy
Liverpool,Liverpool (Anfield),Anfield,45276,42820,Kenny Dalglish,FALSE,Steven Gerrard
Manchester City,Manchester (Bradford),City of Manchester Stadium,47405,45880,Roberto Mancini,FALSE,Carlos Tevez
Manchester United,Manchester (Old Trafford),Old Trafford,75797,75109,Sir Alex Ferguson,FALSE,Gary Neville
Newcastle United,Newcastle upon Tyne,St James' Park,52409,47718,Alan Pardew,TRUE,Kevin Nolan
Stoke City,Stoke-on-Trent,Britannia Stadium,27740,26858,Tony Pulis,FALSE,Ryan Shawcross
Sunderland,Sunderland,Stadium of Light,49000,40011,Steve Bruce,FALSE,Lee Cattermole
Tottenham Hotspur,London (Tottenham),White Hart Lane,36230,35704,Harry Redknapp,FALSE,Michael Dawson
West Bromwich Albion,West Bromwich,The Hawthorns,26484,24683,Roy Hodgson,TRUE,Chris Brunt
West Ham United,London (Upton Park),Boleyn Ground,35303,33492,Avram Grant,FALSE,Matthew Upson
Wigan Athletic,Wigan,DW Stadium,25133,16812,Roberto Martínez,FALSE,Gary Caldwell
Wolverhampton Wanderers,Wolverhampton,Molineux Stadium,29195,27696,Mick McCarthy,FALSE,Karl Henry
