player_name,observation_weight,season_count,unweighted_average_hra,weighted_average_hra
Antonee Robinson,24,2,-0.09105042016806755,-0.17125000000000004
Antonio Barragan,7,1,0.4328571428571424,0.4328571428571424
Antonio Luna,2,1,-0.5,-0.5
Antonio Rudiger,44,5,0.1749841269841273,0.10840909090909143
Antonio Valencia,67,8,0.3661174242424241,0.1894029850746266
Antony,8,1,-0.0925000000000002,-0.0925000000000002
Anwar El Ghazi,14,2,-0.20844444444444438,-0.15428571428571405
Armand Traore,11,3,-0.49541666666666667,-0.2836363636363639
Armando Broja,5,1,1.0600000000000005,1.0600000000000005
Armel Bella-Kotchap,7,1,-0.2042857142857155,-0.2042857142857155
Aron Gunnarsson,13,2,0.32791666666666686,0.23769230769230795
Arouna Kone,18,3,0.1515873015873017,0.044444444444444176
Arthur Masuaku,14,5,0.4535714285714286,0.3571428571428572
Artur Boruc,44,4,-0.1176883012820511,-0.23772727272727254
Aruna Dindane,3,1,0.5666666666666664,0.5666666666666664
Asamoah Gyan,5,1,-0.2380000000000013,-0.23800000000000127
Ashkan Dejagah,3,2,0.7449999999999997,0.44999999999999957
Ashley Barnes,26,7,-0.18261337868480737,-0.0849999999999998
Ashley Cole,54,5,0.47182388663967634,0.44240740740740775
Ashley Westwood,105,8,0.10660404717723804,0.06428571428571432
Ashley Williams,107,7,0.22205940709617142,0.20532710280373792
Ashley Young,81,10,0.04619999999999999,0.25382716049382686
Asmir Begovic,89,9,-0.015612092017793518,-0.12359550561797729
Aymeric Laporte,36,5,-0.23569642857142856,-0.1427777777777778
Ayoze Perez,49,6,0.2749603174603177,0.1059183673469393
Bacary Sagna,66,8,0.06895436507936513,0.08090909090909085
Bafetimbi Gomis,6,2,0.10500000000000045,0.10500000000000047
Bakary Sako,1,1,2.6099999999999994,2.6099999999999994
Barry Bannan,6,2,0.015000000000000097,-0.0316666666666666
Barry Ferguson,34,2,0.1665277777777776,0.16999999999999982
Bastian Schweinsteiger,1,1,-0.1200000000000001,-0.1200000000000001
Ben Chilwell,46,6,0.24744444444444488,0.057826086956522166
Ben Davies,68,10,0.008462271062270977,0.05220588235294108
Ben Foster,147,10,0.04361079213184479,0.07306122448979606
Ben Gibson,28,2,0.06929824561403475,0.096428571428571
Ben Godfrey,31,4,0.08125000000000007,0.05096774193548384
Ben Hamer,1,1,-2.3200000000000003,-2.3200000000000003
Ben Johnson,6,2,0.20299999999999985,-0.021666666666666928
Ben Mee,108,8,0.015278374768506617,0.014074074074074404
Ben Osborn,5,1,0.2459999999999995,0.2459999999999995
Ben Turner,11,1,0.4400000000000004,0.4400000000000004
Ben Watson,20,5,-0.022166666666666578,0.02200000000000003
Ben White,47,3,0.10384615384615377,0.10744680851063823
Benik Afobe,1,1,-0.2299999999999995,-0.2299999999999995
Benjamin Mendy,8,2,-0.13699999999999957,0.038750000000000284
Benjani,1,1,-0.3099999999999996,-0.3099999999999996
Benoit Assou-Ekotto,38,4,0.6310909090909089,0.6400000000000001
Beram Kayal,3,2,-0.02999999999999936,-0.30999999999999933
Bernard,11,2,0.6014285714285714,0.4300000000000002
Bernard Mendy,2,1,-0.4350000000000005,-0.4350000000000005
Bernardo,5,2,-0.21750000000000064,-0.18600000000000078
Bernardo Espinosa,1,1,-0.4400000000000004,-0.4400000000000004
Bernardo Silva,52,6,0.44075396825396823,0.29730769230769216
Bernd Leno,56,4,0.1061631016042783,0.08625000000000017
Bertrand Traore,11,1,-0.0572727272727275,-0.0572727272727275
Billy Gilmour,7,2,-0.32250000000000023,0.1114285714285714
Billy Jones,31,6,0.17957142857142838,0.20677419354838703
Billy Sharp,1,1,0.2800000000000002,0.2800000000000002
Bjorn Engels,1,1,-0.6600000000000001,-0.6600000000000001
Boaz Myhill,14,3,-0.5330555555555554,0.032857142857142585
Bobby De Cordova-Reid,24,3,0.1976161616161617,-0.024166666666666687
Bobby Zamora,18,5,0.6574000000000002,0.5966666666666673
Bojan,5,2,0.6025000000000005,0.7120000000000004
Boubacar Kamara,7,1,0.0385714285714291,0.0385714285714291
Boubakary Soumare,9,2,0.0687500000000001,-0.1188888888888891
Boudewijn Zenden,2,1,0.5750000000000002,0.5750000000000002
Brad Friedel,57,3,-0.09719298245614073,-0.09719298245614075
Bradley Guzan,61,5,0.272604334365325,0.016065573770491722
Bradley Johnson,37,3,0.3958518518518517,0.39972972972972964
Brandon Williams,8,2,-0.5199999999999996,-0.5274999999999994
Branislav Ivanovic,96,7,0.08769314918950065,0.1189583333333336
Brede Hangeland,74,6,0.20237119909817278,0.12324324324324311
Brenden Aaronson,10,1,0.2729999999999988,0.2729999999999988
Brennan Johnson,16,1,0.6856249999999999,0.6856249999999999
Brett Emerton,10,2,0.4640476190476197,0.4230000000000003
Brett Holman,2,1,-0.0250000000000003,-0.0250000000000003
Brett Ormerod,1,1,0.8399999999999999,0.8399999999999999
Brian Jensen,19,1,-0.1715789473684212,-0.1715789473684212
Brown Ideye,4,1,1.2775,1.2775
Bruno,8,2,0.17083333333333336,0.24874999999999978
Bruno Ecuele Manga,18,1,-0.0911111111111111,-0.0911111111111111
Bruno Fernandes,50,3,0.44462962962962954,0.4517999999999999
Bruno Guimaraes,14,1,0.2421428571428565,0.2421428571428565
Bruno Martins Indi,17,2,-0.28250000000000025,0.14764705882352938
Bryan Mbeumo,33,2,0.17799632352941197,0.1860606060606063
Bryan Ruiz,12,2,0.30814285714285683,0.3058333333333331
Bukayo Saka,51,4,0.13136846405228744,0.21823529411764675
Caglar Soyuncu,29,4,-0.0638712121212126,0.20793103448275813
Callum Hudson-Odoi,5,3,-0.27499999999999947,-0.17599999999999943
Callum Paterson,5,1,0.3259999999999987,0.3259999999999987
Callum Robinson,5,1,0.4940000000000006,0.49400000000000055
Callum Wilson,46,7,-0.04548717948717954,-0.09369565217391317
Calum Chambers,27,5,0.2741969696969697,0.322222222222222
Cameron Borthwick-Jackson,1,1,0.6500000000000004,0.6500000000000004
Cameron Jerome,39,5,0.07397875457875448,0.14512820512820468
Carl Jenkinson,17,4,-0.1941666666666671,0.14647058823529355
Carles Gil,3,1,-0.7166666666666677,-0.7166666666666677
Carlos Cuellar,30,4,0.14035130718954236,0.09233333333333311
Carlos Salcido,6,1,-0.7216666666666667,-0.7216666666666667
Carlos Sanchez,8,2,-0.026999999999999705,0.021250000000000296
Carlos Tevez,36,3,0.14291269841269855,0.11138888888888905
Carlos Vinicius,2,1,0.6849999999999996,0.6849999999999996
Carlton Cole,20,4,0.06027777777777785,0.11150000000000042
Casemiro,9,1,0.2055555555555548,0.2055555555555548
Cedric Soares,34,6,-0.18589743589743568,-0.017647058823529044
Cenk Tosun,2,1,-0.4550000000000009,-0.4550000000000009
Cesar Azpilicueta,136,11,0.12075651675778323,0.13485294117647068
Cesc Fabregas,53,6,-0.12089484126984151,0.006226415094339431
Chancel Mbemba,14,1,0.4142857142857137,0.4142857142857137
Charles N'Zogbia,44,5,0.2896000000000001,0.38727272727272744
Charlie Adam,40,7,0.5351870748299321,0.34750000000000003
Charlie Austin,19,3,0.5670833333333339,0.3552631578947376
Charlie Daniels,50,4,-0.049666666666666776,0.03879999999999983
Charlie Taylor,42,5,-0.20457272727272696,-0.19476190476190433
Che Adams,26,4,0.2466420454545457,0.35153846153846163
Cheick Doucoure,15,1,0.0199999999999995,0.0199999999999995
Cheick Tiote,36,6,-0.0329695767195767,0.050555555555555735
Cheikhou Kouyate,91,9,0.1816802641802645,0.07868131868131886
Chicharito,17,6,-0.46125,-0.10411764705882325
Chico Flores,19,2,-0.29994318181818164,-0.26263157894736827
Chris Baird,20,5,-0.0007428571428571118,0.17149999999999976
Chris Basham,31,2,0.12168859649122776,0.08387096774193513
Chris Brunt,68,8,0.2979846230158727,0.3152941176470585
Chris Eagles,16,2,0.0444545454545455,0.15187500000000007
Chris Gunter,6,1,0.1500000000000003,0.1500000000000003
Chris Herd,5,1,-0.1219999999999998,-0.1219999999999998
Chris Kirkland,15,2,0.30964285714285733,0.3353333333333335
Chris Lowe,12,2,0.17750000000000024,0.2458333333333336
Chris Mepham,7,1,-0.2785714285714293,-0.2785714285714293
Chris Richards,1,1,0.9399999999999996,0.9399999999999996
Chris Smalling,56,8,-0.014470035173160053,0.07142857142857158
Chris Wood,41,5,0.2625885780885782,0.02585365853658563
Christian Atsu,7,2,0.04499999999999946,0.17571428571428485
Christian Benitez,4,1,-0.0724999999999997,-0.0724999999999997
Christian Benteke,71,10,-0.3110431202784142,-0.16760563380281648
Christian Eriksen,92,8,0.3875887684619297,0.22880434782608655
Christian Fuchs,35,4,0.18533199643493797,0.31142857142857205
Christian Kabasele,22,3,0.17626851851851907,0.22409090909090953
Christian Norgaard,21,2,0.3271250000000001,0.26904761904761887
Christian Poulsen,1,1,-0.2099999999999999,-0.2099999999999999
Christian Pulisic,13,4,0.36716666666666664,0.21461538461538449
Christoph Zimmermann,1,1,-0.0899999999999998,-0.0899999999999998
Christophe Berra,37,3,0.2685677655677653,0.26918918918918894
Christopher Samba,25,2,0.4563311688311686,0.41879999999999973
Christopher Schindler,36,2,-0.046944444444444594,-0.046944444444444594
Ciaran Clark,44,9,-0.08369456469456477,-0.10522727272727282
Clarke Carlisle,8,1,0.2425000000000006,0.2425000000000006
Claudio Bravo,6,1,-0.3666666666666671,-0.3666666666666671
Claudio Yacob,40,6,0.6250277777777776,0.15650000000000008
Clement Lenglet,6,1,-0.6899999999999995,-0.6899999999999995
Clint Dempsey,47,4,0.3553645833333335,0.4663829787234041
Clint Hill,18,3,0.4012222222222223,0.3700000000000003
Collin Quaner,2,1,-1.0149999999999997,-1.0149999999999997
Connor Roberts,3,1,0.4533333333333331,0.4533333333333331
Connor Wickham,18,3,0.4412179487179486,0.4055555555555553
Conor Coady,81,5,0.03877777777777759,-0.008888888888889187
Conor Gallagher,31,3,0.2498333333333337,0.13225806451612943
Conor Hourihane,1,1,0.6299999999999999,0.6299999999999999
Conor Townsend,7,1,0.0557142857142842,0.0557142857142842
Costel Pantilimon,9,1,-1.2522222222222226,-1.2522222222222226
Craig Bellamy,13,3,0.9435185185185176,0.5569230769230764
Craig Cathcart,65,6,-0.07655534511784488,-0.06261538461538446
Craig Dawson,84,8,0.1992985446570973,0.12321428571428569
Craig Fagan,5,1,0.5679999999999987,0.5679999999999987
Craig Gardner,40,5,0.36630244755244784,0.3030000000000002
Craig Gordon,12,2,-0.5799999999999997,0.03666666666666677
Cristhian Stuani,6,1,-0.7016666666666671,-0.7016666666666671
Cristian Romero,16,2,-0.013333333333332309,0.08250000000000102
Cristiano Ronaldo,8,1,1.28125,1.28125
Crysencio Summerville,1,1,1.8200000000000005,1.8200000000000005
Cucho Hernandez,2,1,-1.41,-1.41
Cuco Martina,5,1,0.0240000000000009,0.0240000000000009
Curtis Davies,26,3,0.3468518518518522,0.39115384615384674
Curtis Jones,4,3,-0.03333333333333351,0.05499999999999994
Cyrus Christie,5,1,-0.4479999999999995,-0.4479999999999995
DJ Campbell,12,1,0.3816666666666668,0.3816666666666668
Dale Stephens,37,3,0.004329545454544929,0.022432432432432026
Daley Blind,27,3,0.16276785714285744,0.2722222222222224
Damien Delaney,46,4,-0.14516880341880326,-0.10239130434782576
Damien Duff,37,5,0.2261111111111111,0.10783783783783771
Dan Burn,41,4,0.11858878968253925,0.052195121951219246
Dan Gosling,22,5,0.20600000000000004,0.07999999999999986
Dan James,21,3,0.09375180375180363,-0.176666666666667
Dango Ouattara,1,1,-0.1699999999999999,-0.1699999999999999
Dani Ceballos,7,2,-0.15541666666666787,-0.24285714285714402
Daniel Agger,32,5,0.347970238095238,0.25593749999999965
Daniel Amartey,13,4,-0.15982142857142856,-0.011538461538461772
Daniel Ayala,2,1,0.6699999999999999,0.6699999999999999
Daniel Bachmann,2,1,0.0099999999999997,0.0099999999999997
Daniel Fox,3,1,0.2966666666666668,0.2966666666666668
Daniel Podence,12,3,-0.03000000000000083,-0.09250000000000097
Daniel Sturridge,23,5,0.2945999999999999,-0.02478260869565269
Danilo,3,2,0.5750000000000006,0.5866666666666674
Danny Collins,14,2,0.1289583333333337,0.13428571428571456
Danny Drinkwater,30,3,0.23129233511586436,0.0053333333333328795
Danny Gabbidon,15,4,-0.030071428571428742,0.157333333333333
Danny Graham,14,2,0.9173076923076922,0.4692857142857137
Danny Guthrie,7,2,0.11950000000000086,-0.11857142857142763
Danny Higginbotham,6,1,0.0716666666666663,0.0716666666666663
Danny Ings,54,5,-0.01939166666666665,-0.04907407407407395
Danny Murphy,39,3,0.2540370370370371,0.26435897435897443
Danny Rose,38,8,-0.048975694444444176,0.07236842105263186
Danny Simpson,68,7,0.1208026695526692,0.19808823529411732
Danny Ward,7,1,0.29,0.29
Danny Welbeck,29,8,0.3426562499999999,0.33724137931034476
Danny Williams,1,1,0.8799999999999999,0.8799999999999999
Dara O'Shea,8,1,-0.1025,-0.1025
Darnell Furlong,13,1,-0.031538461538461,-0.031538461538461
Darren Bent,33,5,-0.036125730994152394,0.3606060606060599
Darren Fletcher,63,5,0.013134310134310035,0.09650793650793646
Darren Pratley,2,1,-0.2549999999999999,-0.2549999999999999
Darren Randolph,5,1,-0.242,-0.242
Darron Gibson,9,2,0.5828571428571432,0.6566666666666666
Darwin Nunez,3,1,0.8299999999999992,0.8299999999999992
Daryl Janmaat,43,5,-0.029440170940170818,0.010232558139534954
Dave Kitson,2,1,0.0849999999999999,0.0849999999999999
David Brooks,11,1,-0.1563636363636371,-0.1563636363636371
David Carney,1,1,-0.8399999999999999,-0.8399999999999999
David Dunn,14,3,0.5695555555555556,0.6128571428571428
David Edwards,10,3,0.6583333333333335,0.5890000000000002
David Fox,9,1,-0.1133333333333324,-0.1133333333333324
David James,8,1,-0.0049999999999998,-0.0049999999999998
David Jones,18,2,0.20147058823529385,-0.02833333333333375
David Luiz,67,9,0.8462109611521376,0.3329850746268658
David Marshall,20,2,-0.13083333333333289,0.14850000000000038
David McGoldrick,16,2,0.29845454545454636,0.35187500000000105
David Meyler,16,3,0.35666666666666674,0.4081249999999999
David N'Gog,7,2,-0.18583333333333305,-0.18999999999999972
David Nugent,8,2,0.06000000000000005,0.06000000000000005
David Raya,24,2,0.07621052631578974,0.025000000000000088
David Silva,104,10,0.1596861999111997,0.1491346153846151
David Stockdale,4,1,0.4524999999999997,0.4524999999999997
David Vaughan,19,2,0.6969791666666674,0.2478947368421057
David Wheater,5,1,0.4640000000000022,0.4640000000000022
David de Gea,188,12,-0.08404708820662776,-0.0494680851063831
Davide Santon,20,3,-0.15575396825396806,-0.10599999999999979
Davide Zappacosta,2,1,-0.4300000000000006,-0.4300000000000006
Davinson Sanchez,37,5,0.03873073593073621,0.08027027027027038
Davy Propper,41,3,-0.01984920634920656,-0.016585365853658746
DeAndre Yedlin,30,3,-0.050944444444444535,-0.03733333333333348
Dean Henderson,20,3,0.5296296296296291,0.0529999999999996
Dean Marney,8,3,0.5424999999999999,0.49124999999999974
Dean Moxey,2,1,-0.0900000000000007,-0.0900000000000007
Dean Whitehead,36,4,0.21398809523809476,0.23555555555555527
Declan John,1,1,0.6699999999999999,0.6699999999999999
Declan Rice,82,6,0.1759515311185207,0.07963414634146385
Declan Rudd,2,1,0.2150000000000007,0.2150000000000007
Deco,3,1,-0.4700000000000006,-0.4700000000000006
Dedryck Boyata,2,1,-0.1400000000000005,-0.1400000000000005
Dejan Kulusevski,8,2,-0.5185714285714282,0.03750000000000042
Dejan Lovren,50,6,0.14058226495726536,-0.04699999999999953
Dele Alli,52,5,0.04531666666666663,0.12807692307692292
Demarai Gray,33,5,0.21040000000000045,0.25727272727272793
Demba Ba,17,3,-0.3157777777777773,0.045294117647059415
Denilson,4,1,-0.6924999999999999,-0.6924999999999999
Denis Odoi,11,1,0.0036363636363647,0.0036363636363647
Dennis Praet,3,1,-0.2999999999999998,-0.2999999999999998
Diafra Sakho,7,2,-0.09333333333333325,-0.10999999999999992
Dickson Etuhu,8,2,0.36214285714285754,0.3637500000000004
Didier Drogba,27,4,0.2534090909090909,0.6525925925925927
Didier Ndong,10,1,0.2779999999999996,0.2779999999999996
Diego Costa,37,4,0.33274553571428545,0.27756756756756734
Diego Llorente,11,2,-0.23000000000000084,-0.06636363636363742
Diego Rico,8,1,0.4212499999999997,0.4212499999999997
Dieumerci Mbokani,4,2,0.3249999999999997,0.2824999999999995
Dimitar Berbatov,33,5,0.1355476190476189,0.18181818181818177
Dimitri Payet,12,2,-0.748181818181818,-0.18000000000000002
Dimitris Giannoulis,3,1,-0.1033333333333326,-0.1033333333333326
Diniyar Bilyaletdinov,4,2,-0.6749999999999998,-0.6749999999999998
Diogo Dalot,15,3,0.39883333333333315,0.41933333333333317
Diogo Jota,34,5,0.14676767676767657,0.09352941176470567
Diomansy Kamara,1,1,0.5499999999999998,0.5499999999999998
Dirk Kuyt,36,3,0.3742658730158732,0.5013888888888891
Divock Origi,5,3,-0.75,-0.33799999999999997
Djibril Sidibe,4,1,0.54,0.54
Dominic Calvert-Lewin,40,6,0.017980574980575103,0.11125000000000038
Dominic Solanke,17,3,0.0369230769230769,0.08470588235294152
Don Cowie,1,1,-0.8899999999999997,-0.8899999999999997
Douglas Luiz,49,4,0.13611263736263735,0.1338775510204082
Duje Caleta-Car,2,1,-0.5499999999999998,-0.5499999999999998
Duncan Watmore,1,1,-0.4299999999999997,-0.4299999999999997
Dusan Tadic,42,4,0.2876031746031744,0.28666666666666657
Dwight Gayle,8,3,-1.6488888888888888,-0.3975000000000004
Dwight McNeil,61,5,0.017335087719298602,0.18180327868852503
Dwight Tiendalli,2,1,0.5199999999999996,0.5199999999999996
Eberechi Eze,23,2,0.1453076923076923,0.13999999999999999
Eddie Nketiah,1,1,0.3499999999999996,0.3499999999999996
Eden Hazard,94,7,0.252688687915358,0.321170212765958
Ederson,103,6,0.06836540391010199,0.062233009708737796
Edimilson Fernandes,3,2,0.3075000000000001,0.47000000000000003
Edin Dzeko,16,4,-0.42375000000000007,-0.35375000000000006
Edinson Cavani,2,2,0.3850000000000007,0.3850000000000007
Edouard Mendy,29,2,-0.1624759615384614,-0.17379310344827567
Eduardo Vargas,4,1,0.2099999999999999,0.2099999999999999
Eduardo da Silva,4,1,0.3724999999999996,0.3724999999999996
Edwin van der Sar,19,2,0.06971428571428587,0.174736842105263
El Hadji Diouf,7,2,0.6399999999999997,0.46142857142857047
Eldin Jakupovic,5,1,0.2859999999999987,0.2859999999999987
Eliaquim Mangala,14,2,-0.0007142857142854592,-0.0007142857142854611
Elias Kachunga,1,1,0.6699999999999999,0.6699999999999999
Elliot Grandin,5,1,0.3860000000000001,0.3860000000000001
Elliott Bennett,6,1,0.2083333333333339,0.2083333333333339
Emanuele Giaccherini,2,1,0.5999999999999996,0.5999999999999996
Emerson,6,2,0.7130000000000005,0.46833333333333416
Emerson Royal,13,2,0.32799999999999985,0.3769230769230768
Emil Krafth,7,3,-0.18916666666666662,0.04000000000000013
Emile Heskey,10,3,-0.35500000000000015,-0.3460000000000001
Emile Smith Rowe,12,2,0.012499999999999706,0.10083333333333307
Emiliano Buendia,25,3,-0.05033333333333324,-0.07919999999999995
Emiliano Insua,11,1,0.1199999999999992,0.1199999999999992
Emiliano Martinez,53,3,-0.3424561403508776,-0.33962264150943444
Emmanuel Adebayor,30,4,-0.06940476190476175,0.029666666666666848
Emmanuel Dennis,13,2,0.6891666666666665,-0.11538461538461545
Emmanuel Eboue,4,2,0.0333333333333332,0.16499999999999998
Emmanuel Riviere,1,1,0.5699999999999994,0.5699999999999994
Emmerson Boyce,35,4,0.16879411764705843,0.02314285714285698
Emre Can,33,4,-0.0861458333333336,-0.1051515151515155
Enda Stevens,31,2,0.22929824561403528,0.24645161290322606
Enner Valencia,13,3,-0.1700000000000005,-0.03461538461538588
Enock Mwepu,2,1,-0.5449999999999999,-0.5449999999999999
Eric Bailly,10,3,0.08404761904761904,0.22600000000000028
Eric Choupo-Moting,10,1,0.3469999999999995,0.3469999999999995
Eric Dier,98,9,0.23972834418667752,0.25867346938775515
Eric Lichaj,1,1,0.8700000000000001,0.8700000000000001
Erik Durm,8,1,-0.3562500000000002,-0.3562500000000002
