average_type,hra,standard_deviation,t-statistic,p-value
unweighted,0.14375129652138624,0.5124919346360061,0.28049474890465276,0.38955538958582625
weighted,0.14375024997857327,0.3485237168516598,0.5124882035757383,0.3041671967198947
