season,player_name,team,player_rating,position,nation,league,skill_moves,weak_foot_quality,work_rate_a,work_rate_d,player_height,player_weight,age
2012/2013,Wayne Rooney,Manchester United,89,CF,England,EPL,3,4,,,176cm,83kg,27
2012/2013,Nemanja Vidić,Manchester United,89,CB,Serbia,EPL,2,3,,,189cm,88kg,31
2012/2013,Robin van Persie,Manchester United,88,ST,Netherlands,EPL,4,4,,,188cm,72kg,29
2012/2013,David Silva,Manchester City,88,CAM,Spain,EPL,4,2,,,171cm,67kg,27
2012/2013,Sergio Agüero,Manchester City,87,ST,Argentina,EPL,4,4,,,175cm,75kg,24
2012/2013,Eden Hazard,Chelsea,87,LW,Belgium,EPL,4,4,,,172cm,72kg,22
2012/2013,Yaya Touré,Manchester City,86,CM,Ivory Coast,EPL,3,4,,,187cm,78kg,30
2012/2013,Carlos Tévez,Manchester City,86,ST,Argentina,EPL,4,3,,,172cm,76kg,29
2012/2013,Hugo Lloris,Tottenham Hotspur,86,GK,France,EPL,1,1,,,188cm,78kg,26
2012/2013,Luis Suárez,Liverpool,86,CF,Uruguay,EPL,4,4,,,181cm,81kg,26
2012/2013,Juan Mata,Chelsea,86,CAM,Spain,EPL,4,3,,,170cm,63kg,25
2012/2013,Fernando Torres,Chelsea,85,ST,Spain,EPL,4,4,,,183cm,78kg,29
2012/2013,Nani,Manchester United,85,LM,Portugal,EPL,5,4,,,175cm,65kg,26
2012/2013,Vincent Kompany,Manchester City,85,CB,Belgium,EPL,2,3,,,192cm,85kg,27
2012/2013,Samir Nasri,Manchester City,85,CAM,France,EPL,4,4,,,177cm,75kg,25
2012/2013,Gareth Bale,Tottenham Hotspur,85,LM,Wales,EPL,4,4,,,183cm,74kg,23
2012/2013,John Terry,Chelsea,84,CB,England,EPL,2,3,,,187cm,90kg,32
2012/2013,Steven Gerrard,Liverpool,84,CAM,England,EPL,3,3,,,183cm,83kg,32
2012/2013,Ashley Cole,Chelsea,84,LB,England,EPL,3,2,,,176cm,67kg,32
2012/2013,Petr Cech,Chelsea,84,GK,Czech Republic,EPL,1,3,,,196cm,91kg,31
2012/2013,Maicon Douglas Sisenando,Manchester City,84,RB,Brazil,EPL,3,3,,,184cm,77kg,31
2012/2013,Santi Cazorla,Arsenal,84,CAM,Spain,EPL,4,5,,,168cm,66kg,28
2012/2013,Joe Hart,Manchester City,84,GK,England,EPL,1,3,,,196cm,84kg,26
2012/2013,Mario Balotelli,Manchester City,84,ST,Italy,EPL,4,4,,,189cm,88kg,22
2012/2013,Frank Lampard,Chelsea,83,CAM,England,EPL,3,4,,,184cm,88kg,34
2012/2013,Rio Ferdinand,Manchester United,83,CB,England,EPL,2,3,,,192cm,87kg,34
2012/2013,José Reina,Liverpool,83,GK,Spain,EPL,1,3,,,188cm,92kg,30
2012/2013,Patrice Evra,Manchester United,83,LB,France,EPL,3,2,,,173cm,72kg,32
2012/2013,Lukas Podolski,Arsenal,83,CF,Germany,EPL,3,2,,,182cm,83kg,27
2012/2013,Daniel Agger,Liverpool,83,CB,Denmark,EPL,2,2,,,191cm,79kg,28
2012/2013,Bacary Sagna,Arsenal,83,RB,France,EPL,3,3,,,176cm,72kg,30
2012/2013,Antonio Valencia,Manchester United,83,RM,Ecuador,EPL,4,2,,,181cm,78kg,27
2012/2013,Edin Džeko,Manchester City,83,ST,Bosnia Herzegovina,EPL,3,4,,,193cm,84kg,27
2012/2013,Shinji Kagawa,Manchester United,83,CAM,Japan,EPL,4,4,,,172cm,64kg,24
2012/2013,Scott Parker,Tottenham Hotspur,82,CDM,England,EPL,3,3,,,175cm,69kg,32
2012/2013,Júlio César Soares Espíndola,Queens Park Rangers,82,GK,Brazil,EPL,1,3,,,186cm,79kg,33
2012/2013,Darren Bent,Aston Villa,82,ST,England,EPL,3,3,,,180cm,73kg,29
2012/2013,Emmanuel Adebayor,Tottenham Hotspur,82,ST,Togo,EPL,4,3,,,191cm,82kg,29
2012/2013,Ashley Young,Manchester United,82,LM,England,EPL,4,3,,,175cm,61kg,27
2012/2013,Thomas Vermaelen,Arsenal,82,CB,Belgium,EPL,2,3,,,183cm,82kg,27
2012/2013,Stéphane Sessègnon,Sunderland,82,CAM,Benin,EPL,4,5,,,168cm,72kg,28
2012/2013,Cheick Tioté,Newcastle United,82,CDM,Ivory Coast,EPL,3,3,,,180cm,86kg,26
