season,player_name,team,player_rating,position,nation,league,skill_moves,weak_foot_quality,work_rate_a,work_rate_d,player_height,player_weight,age
2020/2021,Kevin De Bruyne,Manchester City,91,CAM,Belgium,EPL,4,5,H,H,181cm,70kg,29
2020/2021,Virgil van Dijk,Liverpool,90,CB,Netherlands,EPL,2,3,M,M,193cm,92kg,29
2020/2021,Mohamed Salah,Liverpool,90,RW,Egypt,EPL,4,3,H,M,175cm,71kg,28
2020/2021,Sadio Mané,Liverpool,90,LW,Senegal,EPL,4,4,H,M,175cm,69kg,29
2020/2021,Alisson,Liverpool,90,GK,Brazil,EPL,1,3,M,M,191cm,91kg,28
2020/2021,Sergio Agüero,Manchester City,89,ST,Argentina,EPL,4,4,H,M,173cm,70kg,32
2020/2021,Harry Kane,Spurs,88,ST,England,EPL,3,4,H,H,188cm,89kg,27
2020/2021,Raheem Sterling,Manchester City,88,LW,England,EPL,4,3,H,M,170cm,69kg,26
2020/2021,Ederson,Manchester City,88,GK,Brazil,EPL,1,3,M,M,188cm,86kg,27
2020/2021,N'Golo Kanté,Chelsea,88,CDM,France,EPL,2,3,M,H,168cm,70kg,30
2020/2021,Aubameyang,Arsenal,87,ST,Gabon,EPL,4,4,H,H,187cm,80kg,31
2020/2021,Bruno Fernandes,Manchester Utd,87,CAM,Portugal,EPL,4,4,H,H,179cm,69kg,26
2020/2021,Heung Min Son,Spurs,87,LM,Korea Republic,EPL,4,5,H,H,183cm,78kg,28
2020/2021,Trent Alexander-Arnold,Liverpool,87,RB,England,EPL,3,4,H,M,180cm,69kg,22
2020/2021,Aymeric Laporte,Manchester City,87,CB,France,EPL,2,3,M,M,189cm,85kg,26
2020/2021,Roberto Firmino,Liverpool,87,CF,Brazil,EPL,5,4,H,H,181cm,76kg,29
2020/2021,Bernardo Silva,Manchester City,87,RW,Portugal,EPL,4,3,H,H,173cm,64kg,26
2020/2021,Andrew Robertson,Liverpool,87,LB,Scotland,EPL,3,2,H,H,178cm,64kg,27
2020/2021,Fabinho,Liverpool,87,CDM,Brazil,EPL,3,2,M,H,188cm,78kg,27
2020/2021,Hugo Lloris,Spurs,87,GK,France,EPL,1,1,M,M,188cm,82kg,34
2020/2021,Jamie Vardy,Leicester City,86,ST,England,EPL,3,3,H,H,179cm,74kg,34
2020/2021,Paul Pogba,Manchester Utd,86,CM,France,EPL,5,4,H,M,191cm,84kg,28
2020/2021,Jordan Henderson,Liverpool,86,CDM,England,EPL,3,3,H,H,182cm,80kg,30
2020/2021,De Gea,Manchester Utd,86,GK,Spain,EPL,1,3,M,M,192cm,82kg,30
2020/2021,Kai Havertz,Chelsea,85,CAM,Germany,EPL,4,4,M,M,188cm,83kg,21
2020/2021,Riyad Mahrez,Manchester City,85,RW,Algeria,EPL,5,4,M,M,179cm,67kg,30
2020/2021,Hakim Ziyech,Chelsea,85,CAM,Morocco,EPL,5,2,H,H,181cm,65kg,28
2020/2021,Timo Werner,Chelsea,85,ST,Germany,EPL,3,4,H,M,180cm,76kg,25
2020/2021,Georginio Wijnaldum,Liverpool,85,CM,Netherlands,EPL,4,4,H,H,175cm,69kg,30
2020/2021,Thiago Silva,Chelsea,85,CB,Brazil,EPL,2,3,M,H,183cm,79kg,36
2020/2021,Ricardo Pereira,Leicester City,85,RB,Portugal,EPL,3,4,H,H,175cm,70kg,27
2020/2021,Marcus Rashford,Manchester Utd,85,LM,England,EPL,5,4,H,M,186cm,70kg,23
2020/2021,Bernd Leno,Arsenal,85,GK,Germany,EPL,1,3,M,M,190cm,82kg,29
2020/2021,Rodrigo,Manchester City,85,CDM,Spain,EPL,3,4,M,H,191cm,82kg,24
2020/2021,Toby Alderweireld,Spurs,85,CB,Belgium,EPL,2,3,M,M,186cm,81kg,32
2020/2021,Kyle Walker,Manchester City,85,RB,England,EPL,3,2,H,H,183cm,70kg,30
2020/2021,Thiago,Liverpool,85,CM,Spain,EPL,5,3,M,M,174cm,70kg,30
2020/2021,Fernandinho,Manchester City,84,CB,Brazil,EPL,3,4,M,H,179cm,67kg,36
2020/2021,Azpilicueta,Chelsea,84,RB,Spain,EPL,2,3,M,M,178cm,77kg,31
2020/2021,Lucas Digne,Everton,84,LB,France,EPL,3,2,H,M,178cm,74kg,27
2020/2021,Rui Patrício,Wolves,84,GK,Portugal,EPL,1,2,M,M,190cm,84kg,33
2020/2021,Kasper Schmeichel,Leicester City,84,GK,Denmark,EPL,1,3,M,M,189cm,89kg,34
2020/2021,Raúl Jiménez,Wolves,84,ST,Mexico,EPL,3,4,H,H,190cm,81kg,30
2020/2021,Anthony Martial,Manchester Utd,84,ST,France,EPL,4,3,M,M,184cm,76kg,25
2020/2021,Wilfred Ndidi,Leicester City,84,CDM,Nigeria,EPL,3,4,M,H,183cm,74kg,24
2020/2021,Alex Telles,Manchester Utd,84,LB,Brazil,EPL,3,2,H,H,181cm,71kg,28
2020/2021,Thomas Partey,Arsenal,84,CM,Ghana,EPL,3,3,M,H,185cm,77kg,27
2020/2021,Edinson Cavani,Manchester Utd,84,ST,Uruguay,EPL,3,4,H,H,185cm,77kg,34
2020/2021,João Cancelo,Manchester City,83,RB,Portugal,EPL,4,3,H,M,182cm,74kg,26
2020/2021,Aaron Wan-Bissaka,Manchester Utd,83,RB,England,EPL,4,2,M,H,183cm,72kg,23
2020/2021,Joe Gomez,Liverpool,83,CB,England,EPL,3,3,M,M,188cm,77kg,24
2020/2021,Joel Matip,Liverpool,83,CB,Cameroon,EPL,2,2,M,M,194cm,90kg,29
2020/2021,Dele Alli,Spurs,83,CAM,England,EPL,4,3,H,H,188cm,80kg,25
2020/2021,Steven Bergwijn,Spurs,83,LM,Netherlands,EPL,4,2,H,M,178cm,78kg,23
2020/2021,Gabriel Jesus,Manchester City,83,ST,Brazil,EPL,4,3,H,H,175cm,73kg,24
2020/2021,Ilkay Gündogan,Manchester City,83,CM,Germany,EPL,4,4,H,M,180cm,80kg,30
2020/2021,Lucas,Spurs,83,RM,Brazil,EPL,4,4,H,M,174cm,70kg,28
2020/2021,Luiz Frello Filho Jorge,Chelsea,83,CM,Italy,EPL,3,3,M,M,180cm,68kg,29
2020/2021,Mateo Kovacic,Chelsea,83,CM,Croatia,EPL,4,4,H,H,176cm,80kg,27
