season,player_name,team,player_rating,position,nation,league,skill_moves,weak_foot_quality,work_rate_a,work_rate_d,player_height,player_weight,age
2017/2018,De Gea,Manchester United,91,GK,Spain,EPL,1,3,M,M,193cm,76kg,27
2017/2018,Eden Hazard,Chelsea,91,LW,Belgium,EPL,4,4,H,M,173cm,76kg,27
2017/2018,Kevin De Bruyne,Manchester City,91,CAM,Belgium,EPL,4,5,H,H,181cm,68kg,26
2017/2018,Eden Hazard,Chelsea,90,LW,Belgium,EPL,4,4,H,M,173cm,76kg,27
2017/2018,De Gea,Manchester United,90,GK,Spain,EPL,1,3,M,M,193cm,76kg,27
2017/2018,Sergio Agüero,Manchester City,89,ST,Argentina,EPL,4,4,H,M,173cm,70kg,29
2017/2018,Alexis Sánchez,Arsenal,89,LM,Chile,EPL,4,3,H,H,169cm,62kg,29
2017/2018,Thibaut Courtois,Chelsea,89,GK,Belgium,EPL,1,3,M,M,199cm,94kg,26
2017/2018,Kevin De Bruyne,Manchester City,89,CAM,Belgium,EPL,4,5,H,H,181cm,68kg,26
2017/2018,Alexis Sánchez,Manchester United,89,LM,Chile,EPL,4,3,H,H,169cm,62kg,29
2017/2018,David Silva,Manchester City,89,CAM,Spain,EPL,4,2,H,L,173cm,67kg,32
2017/2018,Zlatan Ibrahimović,Manchester United,88,ST,Sweden,EPL,4,4,M,L,195cm,95kg,36
2017/2018,Hugo Lloris,Tottenham Hotspur,88,GK,France,EPL,1,1,M,M,188cm,82kg,31
2017/2018,Mesut Özil,Arsenal,88,CAM,Germany,EPL,4,2,M,L,180cm,76kg,29
2017/2018,Pierre-Emerick Aubameyang,Arsenal,88,ST,Gabon,EPL,3,4,M,L,187cm,80kg,28
2017/2018,Paul Pogba,Manchester United,88,CM,France,EPL,5,4,H,M,191cm,84kg,25
2017/2018,N'Golo Kanté,Chelsea,88,CDM,France,EPL,3,3,M,H,168cm,68kg,27
2017/2018,Christian Eriksen,Tottenham Hotspur,88,CAM,Denmark,EPL,4,5,H,M,182cm,76kg,26
2017/2018,Harry Kane,Tottenham Hotspur,88,ST,England,EPL,3,4,H,H,188cm,86kg,24
2017/2018,David Silva,Manchester City,87,CAM,Spain,EPL,4,2,H,L,173cm,67kg,32
2017/2018,Christian Eriksen,Tottenham Hotspur,87,CAM,Denmark,EPL,4,5,H,M,182cm,76kg,26
2017/2018,Paul Pogba,Manchester United,87,CM,France,EPL,5,4,H,M,191cm,84kg,25
2017/2018,N'Golo Kanté,Chelsea,87,CDM,France,EPL,3,3,M,H,168cm,68kg,27
2017/2018,Petr Čech,Arsenal,86,GK,Czech Republic,EPL,1,3,M,M,196cm,90kg,36
2017/2018,Cesc Fàbregas,Chelsea,86,CM,Spain,EPL,3,3,H,M,180cm,77kg,31
2017/2018,Diego Costa,Chelsea,86,ST,Spain,EPL,3,4,H,M,186cm,87kg,29
2017/2018,David Luiz,Chelsea,86,CB,Brazil,EPL,3,3,M,M,189cm,84kg,31
2017/2018,Toby Alderweireld,Tottenham Hotspur,86,CB,Belgium,EPL,2,3,M,M,187cm,91kg,29
2017/2018,Coutinho,Liverpool,86,LW,Brazil,EPL,4,4,H,H,171cm,68kg,25
2017/2018,Romelu Lukaku,Manchester United,86,ST,Belgium,EPL,3,4,M,M,190cm,94kg,25
2017/2018,Harry Kane,Tottenham Hotspur,86,ST,England,EPL,3,4,H,H,188cm,86kg,24
2017/2018,Azpilicueta,Chelsea,86,CB,Spain,EPL,3,3,M,M,178cm,78kg,28
2017/2018,Sokratis,Arsenal,86,CB,Greece,EPL,2,3,M,H,186cm,85kg,29
2017/2018,Vincent Kompany,Manchester City,85,CB,Belgium,EPL,2,3,M,M,193cm,85kg,32
2017/2018,Jan Vertonghen,Tottenham Hotspur,85,CB,Belgium,EPL,2,3,H,H,189cm,88kg,31
2017/2018,Azpilicueta,Chelsea,85,CB,Spain,EPL,3,3,M,M,178cm,78kg,28
2017/2018,İlkay Gündoğan,Manchester City,85,CM,Germany,EPL,4,4,H,M,180cm,80kg,27
2017/2018,Henrikh Mkhitaryan,Manchester United,85,RM,Armenia,EPL,4,5,H,H,177cm,75kg,29
2017/2018,Alexandre Lacazette,Arsenal,85,ST,France,EPL,4,3,H,M,175cm,73kg,26
2017/2018,Henrikh Mkhitaryan,Arsenal,85,RM,Armenia,EPL,4,5,H,H,177cm,75kg,29
2017/2018,Morata,Chelsea,85,ST,Spain,EPL,3,4,H,H,189cm,85kg,25
2017/2018,Mohamed Salah,Liverpool,85,RW,Egypt,EPL,4,2,H,M,175cm,71kg,25
2017/2018,Nicolás Otamendi,Manchester City,85,CB,Argentina,EPL,2,3,H,H,183cm,81kg,30
2017/2018,Fernandinho,Manchester City,85,CDM,Brazil,EPL,3,4,M,H,179cm,67kg,33
2017/2018,Bernd Leno,Arsenal,85,GK,Germany,EPL,1,4,M,M,190cm,83kg,26
2017/2018,Gary Cahill,Chelsea,84,CB,England,EPL,2,3,M,M,193cm,86kg,32
2017/2018,Laurent Koscielny,Arsenal,84,CB,France,EPL,2,3,M,H,186cm,75kg,32
2017/2018,Juan Mata,Manchester United,84,CAM,Spain,EPL,3,3,M,M,170cm,63kg,30
2017/2018,Willian,Chelsea,84,RW,Brazil,EPL,4,4,H,H,175cm,77kg,29
2017/2018,Pedro,Chelsea,84,RW,Spain,EPL,4,5,H,M,169cm,65kg,30
2017/2018,Ander Herrera,Manchester United,84,CM,Spain,EPL,3,4,H,H,182cm,70kg,28
2017/2018,Shkodran Mustafi,Arsenal,84,CB,Germany,EPL,2,3,M,H,184cm,82kg,26
2017/2018,Morata,Chelsea,84,ST,Spain,EPL,3,4,H,H,189cm,85kg,25
2017/2018,Sadio Mané,Liverpool,84,LW,Senegal,EPL,4,3,H,M,175cm,69kg,26
2017/2018,Dele Alli,Tottenham Hotspur,84,CAM,England,EPL,4,3,H,M,188cm,80kg,22
2017/2018,Bernardo Silva,Manchester City,84,RM,Portugal,EPL,4,3,M,M,173cm,64kg,23
2017/2018,Eric Bailly,Manchester United,84,CB,Côte d'Ivoire,EPL,2,3,M,H,187cm,77kg,24
2017/2018,Aymeric Laporte,Manchester City,84,CB,France,EPL,2,2,M,M,189cm,85kg,23
2017/2018,Ederson,Manchester City,84,GK,Brazil,EPL,1,3,M,M,188cm,86kg,24
2017/2018,Kyle Walker,Manchester City,84,RB,England,EPL,2,2,H,M,183cm,83kg,27
2017/2018,Riyad Mahrez,Leicester City,84,RM,Algeria,EPL,5,4,M,M,179cm,62kg,27
2017/2018,Roberto Firmino,Liverpool,84,ST,Brazil,EPL,4,4,H,H,181cm,76kg,26
2017/2018,Nemanja Matic,Manchester United,84,CDM,Serbia,EPL,3,3,M,H,194cm,85kg,29
2017/2018,Raheem Sterling,Manchester City,84,RW,England,EPL,4,3,H,M,170cm,69kg,23
2017/2018,Leroy Sané,Manchester City,84,LW,Germany,EPL,3,3,H,M,183cm,75kg,22
2017/2018,Fábio Henrique Tavares,Liverpool,84,CDM,Brazil,EPL,3,2,M,M,188cm,78kg,24
2017/2018,Riyad Mahrez,Manchester City,84,RM,Algeria,EPL,5,4,M,M,179cm,62kg,27
2017/2018,Yaya Touré,Manchester City,83,CM,Côte d'Ivoire,EPL,3,4,M,M,189cm,90kg,35
2017/2018,Santi Cazorla,Arsenal,83,CM,Spain,EPL,4,5,H,L,168cm,66kg,33
2017/2018,Kasper Schmeichel,Leicester City,83,GK,Denmark,EPL,1,3,M,M,185cm,76kg,31
2017/2018,Antonio Valencia,Manchester United,83,RB,Ecuador,EPL,3,1,H,H,180cm,83kg,32
2017/2018,Morgan Schneiderlin,Everton,83,CDM,France,EPL,2,3,M,H,181cm,75kg,28
2017/2018,Adam Lallana,Liverpool,83,CM,England,EPL,4,5,H,H,172cm,73kg,30
2017/2018,Kyle Walker,Manchester City,83,RB,England,EPL,2,2,H,M,183cm,83kg,27
2017/2018,Nemanja Matić,Manchester United,83,CDM,Serbia,EPL,3,3,M,H,194cm,85kg,29
2017/2018,Nicolás Otamendi,Manchester City,83,CB,Argentina,EPL,2,3,H,H,183cm,81kg,30
2017/2018,Idrissa Gueye,Everton,83,CDM,Senegal,EPL,2,3,M,H,174cm,66kg,28
2017/2018,Joel Matip,Liverpool,83,CB,Cameroon,EPL,2,2,M,M,195cm,90kg,26
2017/2018,Roberto Firmino,Liverpool,83,ST,Brazil,EPL,4,4,H,H,181cm,76kg,26
2017/2018,Virgil van Dijk,Southampton,83,CB,Holland,EPL,2,3,H,M,193cm,92kg,26
2017/2018,Riyad Mahrez,Leicester City,83,RM,Algeria,EPL,5,4,M,M,179cm,62kg,27
2017/2018,Mohamed Salah,Liverpool,83,RW,Egypt,EPL,4,2,H,M,175cm,71kg,25
2017/2018,Ederson,Manchester City,83,GK,Brazil,EPL,1,3,M,M,188cm,86kg,24
2017/2018,Virgil van Dijk,Liverpool,83,CB,Holland,EPL,2,3,H,M,193cm,92kg,26
2017/2018,João Mário,West Ham United,83,CM,Portugal,EPL,3,4,M,H,179cm,72kg,25
2017/2018,Heung Min Son,Tottenham Hotspur,83,LM,Korea Republic,EPL,4,5,H,H,183cm,77kg,25
2017/2018,Anthony Martial,Manchester United,83,LM,France,EPL,4,4,M,L,181cm,76kg,22
2017/2018,Gabriel Jesus,Manchester City,83,ST,Brazil,EPL,4,4,H,H,175cm,73kg,21
2017/2018,Adrien Silva,Leicester City,83,CM,Portugal,EPL,3,4,M,H,175cm,69kg,29
2017/2018,Naby Keïta,Liverpool,83,CM,Guinea,EPL,4,3,H,M,172cm,64kg,23
2017/2018,Fernandinho,Manchester City,82,CDM,Brazil,EPL,3,4,M,H,179cm,67kg,33
2017/2018,Joe Hart,West Ham United,82,GK,England,EPL,1,3,M,M,196cm,91kg,31
2017/2018,Moussa Dembélé,Tottenham Hotspur,82,CM,Belgium,EPL,4,2,M,M,185cm,88kg,30
2017/2018,Leighton Baines,Everton,82,LB,England,EPL,3,3,H,M,170cm,74kg,33
2017/2018,Ashley Williams,Everton,82,CB,Wales,EPL,2,4,M,H,183cm,77kg,33
2017/2018,Danny Rose,Tottenham Hotspur,82,LB,England,EPL,3,3,M,H,174cm,76kg,27
