season,player_name,team,player_rating,position,nation,league,skill_moves,weak_foot_quality,work_rate_a,work_rate_d,player_height,player_weight,age
2021/2022,Kevin De Bruyne,Manchester City,91,CM,Belgium,EPL,4,5,H,H,181cm,70kg,30
2021/2022,Cristiano Ronaldo,Manchester Utd,91,ST,Portugal,EPL,5,4,H,L,187cm,83kg,37
2021/2022,Harry Kane,Spurs,90,ST,England,EPL,3,5,H,H,188cm,89kg,28
2021/2022,N'Golo Kanté,Chelsea,90,CDM,France,EPL,2,3,M,H,168cm,70kg,31
2021/2022,Heung Min Son,Spurs,89,LM,Korea Republic,EPL,4,5,H,H,183cm,78kg,29
2021/2022,Sadio Mané,Liverpool,89,LW,Senegal,EPL,4,4,H,M,175cm,69kg,30
2021/2022,Ederson,Manchester City,89,GK,Brazil,EPL,1,3,M,M,188cm,86kg,28
2021/2022,Alisson,Liverpool,89,GK,Brazil,EPL,1,3,M,M,191cm,91kg,29
2021/2022,Virgil van Dijk,Liverpool,89,CB,Netherlands,EPL,2,3,M,M,193cm,92kg,30
2021/2022,Mohamed Salah,Liverpool,89,RW,Egypt,EPL,4,3,H,M,175cm,71kg,29
2021/2022,Romelu Lukaku,Chelsea,88,ST,Belgium,EPL,3,4,M,M,191cm,94kg,29
2021/2022,Raheem Sterling,Manchester City,88,LW,England,EPL,4,3,H,M,170cm,69kg,27
2021/2022,Bruno Fernandes,Manchester Utd,88,CAM,Portugal,EPL,4,3,H,H,179cm,69kg,27
2021/2022,Raheem Sterling,Chelsea,88,LW,England,EPL,4,3,H,M,170cm,69kg,27
2021/2022,Erling Haaland,Manchester City,88,ST,Norway,EPL,3,3,H,H,194cm,94kg,21
2021/2022,Rúben Dias,Manchester City,87,CB,Portugal,EPL,2,4,M,H,187cm,82kg,25
2021/2022,Andrew Robertson,Liverpool,87,LB,Scotland,EPL,3,2,H,H,178cm,64kg,28
2021/2022,Trent Alexander-Arnold,Liverpool,87,RB,England,EPL,3,4,H,M,180cm,69kg,23
2021/2022,Paul Pogba,Manchester Utd,87,CM,France,EPL,5,4,H,M,191cm,84kg,29
2021/2022,Jadon Sancho,Manchester Utd,87,RM,England,EPL,5,3,H,M,180cm,76kg,22
2021/2022,Hugo Lloris,Spurs,87,GK,France,EPL,1,1,M,M,188cm,82kg,35
2021/2022,Riyad Mahrez,Manchester City,86,RW,Algeria,EPL,5,4,M,M,179cm,67kg,31
2021/2022,João Cancelo,Manchester City,86,RB,Portugal,EPL,4,4,H,M,182cm,74kg,27
2021/2022,Bernardo Silva,Manchester City,86,CAM,Portugal,EPL,4,3,H,H,173cm,64kg,27
2021/2022,Aymeric Laporte,Manchester City,86,CB,Spain,EPL,2,3,M,M,191cm,85kg,27
2021/2022,Rodrigo,Manchester City,86,CDM,Spain,EPL,3,4,M,H,191cm,82kg,25
2021/2022,Fabinho,Liverpool,86,CDM,Brazil,EPL,3,2,M,H,188cm,78kg,28
