season,player_name,team,player_rating,position,nation,league,skill_moves,weak_foot_quality,work_rate_a,work_rate_d,player_height,player_weight,age
2022/2023,Kevin De Bruyne,Manchester City,91,CM,Belgium,EPL,4,5,H,H,181cm,70kg,31
2022/2023,Mohamed Salah,Liverpool,90,RW,Egypt,EPL,4,3,H,M,175cm,71kg,30
2022/2023,Virgil van Dijk,Liverpool,90,CB,Netherlands,EPL,2,3,M,H,193cm,92kg,31
2022/2023,Cristiano Ronaldo,Manchester Utd,90,ST,Portugal,EPL,5,4,H,L,187cm,83kg,38
2022/2023,Heung Min Son,Spurs,89,LW,Korea Republic,EPL,4,5,H,M,183cm,78kg,30
2022/2023,Casemiro,Manchester Utd,89,CDM,Brazil,EPL,2,3,M,H,185cm,84kg,31
2022/2023,Alisson,Liverpool,89,GK,Brazil,EPL,1,3,M,M,191cm,91kg,30
2022/2023,Harry Kane,Spurs,89,ST,England,EPL,3,5,H,H,188cm,89kg,29
2022/2023,Ederson,Manchester City,89,GK,Brazil,EPL,1,3,M,M,188cm,86kg,29
2022/2023,N'Golo Kanté,Chelsea,89,CDM,France,EPL,2,3,M,H,168cm,70kg,32
2022/2023,Erling Haaland,Manchester City,88,ST,Norway,EPL,3,3,H,M,195cm,94kg,22
2022/2023,Bernardo Silva,Manchester City,88,CAM,Portugal,EPL,4,3,H,H,173cm,64kg,28
2022/2023,Rúben Dias,Manchester City,88,CB,Portugal,EPL,2,4,M,H,187cm,82kg,26
2022/2023,João Cancelo,Manchester City,88,LB,Portugal,EPL,4,4,H,M,182cm,74kg,28
2022/2023,Keylor Navas,Nott'm Forest,88,GK,Costa Rica,EPL,1,3,M,M,185cm,80kg,36
2022/2023,David De Gea,Manchester Utd,87,GK,Spain,EPL,1,3,M,M,192cm,76kg,32
2022/2023,Hugo Lloris,Spurs,87,GK,France,EPL,1,1,M,M,188cm,82kg,36
2022/2023,Trent Alexander-Arnold,Liverpool,87,RB,England,EPL,3,4,H,M,180cm,69kg,24
2022/2023,Kalidou Koulibaly,Chelsea,87,CB,Senegal,EPL,2,4,M,H,187cm,89kg,31
2022/2023,Rodri,Manchester City,87,CDM,Spain,EPL,3,4,M,H,191cm,82kg,26
2022/2023,Andrew Robertson,Liverpool,87,LB,Scotland,EPL,3,2,H,H,178cm,64kg,29
2022/2023,Fabinho,Liverpool,87,CDM,Brazil,EPL,3,2,M,H,188cm,78kg,29
2022/2023,Aymeric Laporte,Manchester City,86,CB,Spain,EPL,2,3,M,M,191cm,85kg,28
2022/2023,Édouard Mendy,Chelsea,86,GK,Senegal,EPL,1,2,M,M,197cm,86kg,31
2022/2023,Thiago Silva,Chelsea,86,CB,Brazil,EPL,2,3,M,H,183cm,79kg,38
2022/2023,Raheem Sterling,Chelsea,86,LW,England,EPL,4,3,H,M,170cm,69kg,28
2022/2023,Thiago,Liverpool,86,CM,Spain,EPL,5,3,M,M,174cm,70kg,32
2022/2023,Riyad Mahrez,Manchester City,86,RW,Algeria,EPL,5,4,M,M,179cm,67kg,32
2022/2023,Bruno Fernandes,Manchester Utd,86,CAM,Portugal,EPL,4,3,H,H,179cm,69kg,28
2022/2023,Jorginho,Chelsea,85,CM,Italy,EPL,3,3,M,M,180cm,68kg,31
2022/2023,Diogo Jota,Liverpool,85,CF,Portugal,EPL,4,5,H,H,178cm,73kg,26
2022/2023,Phil Foden,Manchester City,85,LW,England,EPL,4,3,H,H,171cm,69kg,22
