season,player_name,team,player_rating,position,nation,league,skill_moves,weak_foot_quality,work_rate_a,work_rate_d,player_height,player_weight,age
2011/2012,Nemanja Vidić,Manchester United,89,CB,Serbia,EPL,2,3,,,189cm,84kg,30
2011/2012,Rooney,Manchester United,89,ST,England,EPL,3,4,,,176cm,83kg,26
2011/2012,Carlos Tévez,Manchester City,88,ST,Argentina,EPL,4,3,,,172cm,76kg,28
2011/2012,Luka Modric,Tottenham Hotspur,88,CAM,Croatia,EPL,4,5,,,175cm,67kg,26
2011/2012,Frank Lampard,Chelsea,87,CAM,England,EPL,3,4,,,184cm,88kg,33
2011/2012,Rio Ferdinand,Manchester United,87,CB,England,EPL,2,3,,,192cm,82kg,33
2011/2012,Steven Gerrard,Liverpool,87,CAM,England,EPL,3,3,,,183cm,83kg,31
2011/2012,Rafael van der Vaart,Tottenham Hotspur,87,CAM,Netherlands,EPL,4,4,,,176cm,74kg,29
2011/2012,David Silva,Manchester City,87,CAM,Spain,EPL,4,2,,,171cm,67kg,26
2011/2012,Robin van Persie,Arsenal,86,ST,Netherlands,EPL,4,4,,,188cm,73kg,28
2011/2012,John Terry,Chelsea,86,CB,England,EPL,2,3,,,187cm,90kg,31
2011/2012,Didier Drogba,Chelsea,86,ST,Ivory Coast,EPL,3,4,,,189cm,91kg,34
2011/2012,Fernando Torres,Chelsea,86,ST,Spain,EPL,4,4,,,183cm,78kg,28
2011/2012,Sergio Agüero,Manchester City,86,ST,Argentina,EPL,4,4,,,175cm,75kg,23
2011/2012,Samir Nasri,Manchester City,86,CAM,France,EPL,4,4,,,177cm,75kg,24
2011/2012,Gareth Bale,Tottenham Hotspur,86,LM,Wales,EPL,4,4,,,183cm,74kg,22
2011/2012,Yaya Touré,Manchester City,85,CM,Ivory Coast,EPL,3,4,,,187cm,78kg,29
2011/2012,Ashley Cole,Chelsea,85,LB,England,EPL,3,3,,,176cm,67kg,31
2011/2012,Petr Cech,Chelsea,85,GK,Czech Republic,EPL,1,3,,,196cm,91kg,30
2011/2012,Nani,Manchester United,85,LM,Portugal,EPL,5,4,,,175cm,66kg,25
2011/2012,Ashley Young,Manchester United,85,LM,England,EPL,4,3,,,175cm,65kg,26
2011/2012,Luis Suárez,Liverpool,85,CF,Uruguay,EPL,4,4,,,181cm,81kg,25
2011/2012,Juan Mata,Chelsea,85,LW,Spain,EPL,4,3,,,170cm,63kg,24
2011/2012,José Reina,Liverpool,84,GK,Spain,EPL,1,3,,,188cm,92kg,29
2011/2012,Florent Malouda,Chelsea,84,LW,France,EPL,4,4,,,181cm,73kg,31
2011/2012,Michaël Essien,Chelsea,84,CM,Ghana,EPL,3,4,,,177cm,85kg,29
2011/2012,Vincent Kompany,Manchester City,84,CB,Belgium,EPL,2,4,,,192cm,85kg,26
2011/2012,Gervais Yao Kouassi,Arsenal,84,RW,Ivory Coast,EPL,4,4,,,179cm,68kg,24
2011/2012,Edin Džeko,Manchester City,84,ST,Bosnia Herzegovina,EPL,3,4,,,193cm,84kg,26
2011/2012,Ryan Giggs,Manchester United,83,LM,Wales,EPL,3,3,,,180cm,70kg,38
2011/2012,Nicolas Anelka,Chelsea,83,ST,France,EPL,3,3,,,185cm,77kg,33
2011/2012,Kolo Touré,Manchester City,83,CB,Ivory Coast,EPL,2,3,,,183cm,76kg,31
2011/2012,Alex Rodrigo Dias da Costa,Chelsea,83,CB,Brazil,EPL,2,3,,,189cm,92kg,29
2011/2012,Andrei Arshavin,Arsenal,83,LW,Russia,EPL,4,5,,,172cm,69kg,30
2011/2012,Joe Hart,Manchester City,83,GK,England,EPL,1,3,,,196cm,84kg,25
2011/2012,Daniel Agger,Liverpool,83,CB,Denmark,EPL,2,3,,,191cm,79kg,27
2011/2012,Thomas Vermaelen,Arsenal,83,CB,Belgium,EPL,2,3,,,183cm,82kg,26
2011/2012,Bacary Sagna,Arsenal,83,RB,France,EPL,3,3,,,176cm,72kg,29
2011/2012,Antonio Valencia,Manchester United,83,RM,Ecuador,EPL,4,2,,,181cm,73kg,26
