season,player_name,team,player_rating,position,nation,league,skill_moves,weak_foot_quality,work_rate_a,work_rate_d,player_height,player_weight,age
2015/2016,Matic,Chelsea,84,CDM,Serbia,EPL,3,3,M,H,194cm,84kg,27
2015/2016,Otamendi,Manchester City,84,CB,Argentina,EPL,2,3,M,M,183cm,81kg,28
2015/2016,Mertesacker,Arsenal,83,CB,Germany,EPL,2,3,M,M,198cm,90kg,31
2015/2016,Hart,Manchester City,83,GK,England,EPL,1,3,M,M,196cm,91kg,29
2015/2016,Baines,Everton,83,LB,England,EPL,3,3,H,M,170cm,70kg,31
2015/2016,Cahill,Chelsea,83,CB,England,EPL,2,3,M,M,193cm,86kg,30
2015/2016,Koscielny,Arsenal,83,CB,France,EPL,2,3,M,H,186cm,75kg,30
2015/2016,Nasri,Manchester City,83,LM,France,EPL,4,4,H,M,175cm,75kg,28
2015/2016,Falcao,Chelsea,83,ST,Colombia,EPL,4,4,H,M,177cm,72kg,30
2015/2016,Sturridge,Liverpool,83,ST,England,EPL,3,2,M,L,188cm,76kg,26
2015/2016,Pedro,Chelsea,83,LW,Spain,EPL,4,5,H,M,167cm,62kg,28
2015/2016,Eriksen,Spurs,83,CAM,Denmark,EPL,4,5,H,M,177cm,71kg,24
2015/2016,Gündogan,Manchester City,83,CM,Germany,EPL,4,4,H,M,180cm,80kg,25
2015/2016,Mandanda,Crystal Palace,83,GK,France,EPL,1,3,M,M,185cm,82kg,31
2015/2016,Mkhitaryan,Manchester Utd,83,RM,Armenia,EPL,4,5,H,H,177cm,75kg,27
2015/2016,Bravo,Manchester City,83,GK,Chile,EPL,1,3,M,M,184cm,80kg,33
2015/2016,David Luiz,Chelsea,83,CB,Brazil,EPL,3,3,H,M,189cm,84kg,29
2015/2016,Victor Valdés,Manchester Utd,82,GK,Spain,EPL,1,3,M,M,183cm,78kg,34
2015/2016,Zabaleta,Manchester City,82,RB,Argentina,EPL,3,3,H,H,178cm,76kg,31
2015/2016,Begovic,Chelsea,82,GK,Bosnia Herzegovina,EPL,1,2,M,M,200cm,83kg,28
2015/2016,Vertonghen,Spurs,82,CB,Belgium,EPL,2,3,H,M,189cm,86kg,29
2015/2016,Schneiderlin,Manchester Utd,82,CDM,France,EPL,2,3,M,H,181cm,75kg,26
2015/2016,Giroud,Arsenal,82,ST,France,EPL,2,3,M,M,192cm,88kg,29
2015/2016,Willian,Chelsea,82,RM,Brazil,EPL,4,4,H,H,175cm,75kg,27
2015/2016,Benteke,Liverpool,82,ST,Belgium,EPL,3,4,M,M,190cm,83kg,25
2015/2016,Azpilicueta,Chelsea,82,LB,Spain,EPL,3,3,M,M,178cm,75kg,26
2015/2016,Ramsey,Arsenal,82,CM,Wales,EPL,3,3,H,H,177cm,70kg,25
2015/2016,Roberto Firmino,Liverpool,82,CAM,Brazil,EPL,4,3,H,M,181cm,76kg,24
2015/2016,Sterling,Manchester City,82,LM,England,EPL,4,3,H,M,170cm,69kg,21
2015/2016,Cuadrado,Chelsea,82,RM,Colombia,EPL,5,3,M,H,176cm,66kg,28
2015/2016,Nolito,Manchester City,82,LW,Spain,EPL,4,3,H,L,175cm,72kg,29
2015/2016,Xhaka,Arsenal,82,CM,Switzerland,EPL,3,4,M,M,185cm,82kg,23
2015/2016,Benteke,Crystal Palace,82,ST,Belgium,EPL,3,4,M,M,190cm,83kg,25
2015/2016,Mustafi,Arsenal,82,CB,Germany,EPL,2,3,L,H,184cm,82kg,24
2015/2016,Mikel Arteta,Arsenal,81,CM,Spain,EPL,3,4,M,M,175cm,64kg,34
2015/2016,Jagielka,Everton,81,CB,England,EPL,2,3,M,H,183cm,83kg,33
2015/2016,Demichelis,Manchester City,81,CB,Argentina,EPL,2,3,L,M,184cm,78kg,35
2015/2016,Jesús Navas,Manchester City,81,RM,Spain,EPL,4,3,M,M,170cm,60kg,30
2015/2016,Walcott,Arsenal,81,RM,England,EPL,3,3,H,L,176cm,68kg,27
2015/2016,Škrtel,Liverpool,81,CB,Slovakia,EPL,2,2,M,H,191cm,81kg,31
2015/2016,José Fonte,Southampton,81,CB,Portugal,EPL,2,3,M,H,187cm,81kg,32
2015/2016,Bojan,Stoke City,81,CAM,Spain,EPL,4,3,H,L,170cm,65kg,25
2015/2016,Payet,West Ham,81,CAM,France,EPL,4,4,H,M,175cm,77kg,29
2015/2016,Rémy,Chelsea,81,ST,France,EPL,4,3,M,M,185cm,80kg,29
2015/2016,Coleman,Everton,81,RB,Republic of Ireland,EPL,3,3,H,H,177cm,77kg,27
2015/2016,Sakho,Liverpool,81,CB,France,EPL,2,2,M,H,187cm,83kg,26
2015/2016,Alderweireld,Spurs,81,CB,Belgium,EPL,2,4,M,M,186cm,75kg,27
2015/2016,Darmian,Manchester Utd,81,RB,Italy,EPL,2,4,H,H,182cm,70kg,26
2015/2016,Wilshere,Arsenal,81,CM,England,EPL,3,2,M,M,172cm,68kg,24
2015/2016,Bony,Manchester City,81,ST,Ivory Coast,EPL,3,4,M,L,182cm,91kg,27
2015/2016,Clyne,Liverpool,81,RB,England,EPL,3,3,H,M,175cm,67kg,25
2015/2016,Ander Herrera,Manchester Utd,81,CM,Spain,EPL,4,4,H,M,182cm,73kg,26
2015/2016,Rojo,Manchester Utd,81,CB,Argentina,EPL,2,2,M,M,186cm,82kg,26
2015/2016,Depay,Manchester Utd,81,LW,Netherlands,EPL,4,2,H,M,176cm,78kg,22
2015/2016,Feghouli,West Ham,81,RW,Algeria,EPL,4,3,H,M,177cm,75kg,26
2015/2016,Matip,Liverpool,81,CB,Cameroon,EPL,2,2,M,M,195cm,90kg,24
2015/2016,Williams,Everton,81,CB,Wales,EPL,2,4,M,H,181cm,91kg,31
2015/2016,Rémy,Crystal Palace,81,ST,France,EPL,4,3,M,M,185cm,80kg,29
2015/2016,Wilshere,Bournemouth,81,CM,England,EPL,3,2,M,M,172cm,68kg,24
2015/2016,Bony,Stoke City,81,ST,Ivory Coast,EPL,3,4,M,L,182cm,91kg,27
2015/2016,Pereyra,Watford,81,CM,Argentina,EPL,4,4,H,H,184cm,78kg,25
2015/2016,Rosický,Arsenal,80,CAM,Czech Republic,EPL,3,3,H,H,178cm,65kg,35
2015/2016,Howard,Everton,80,GK,United States,EPL,1,3,M,M,191cm,88kg,37
2015/2016,Carrick,Manchester Utd,80,CM,England,EPL,2,3,L,M,188cm,74kg,34
2015/2016,Fernandinho,Manchester City,80,CM,Brazil,EPL,3,4,M,H,176cm,67kg,31
2015/2016,Vorm,Spurs,80,GK,Netherlands,EPL,1,3,M,M,183cm,87kg,32
2015/2016,Milner,Liverpool,80,CM,England,EPL,3,4,H,H,176cm,70kg,30
2015/2016,Clichy,Manchester City,80,LB,France,EPL,2,4,H,M,176cm,65kg,30
2015/2016,Young,Manchester Utd,80,LM,England,EPL,4,3,H,M,175cm,65kg,30
2015/2016,Debuchy,Arsenal,80,RB,France,EPL,3,3,H,M,177cm,76kg,30
2015/2016,Inler,Leicester City,80,CDM,Switzerland,EPL,2,4,M,M,183cm,80kg,31
2015/2016,Dembélé,Spurs,80,CM,Belgium,EPL,4,2,M,M,185cm,82kg,28
2015/2016,Williams,Swansea City,80,CB,Wales,EPL,2,4,M,H,181cm,91kg,31
2015/2016,Shawcross,Stoke City,80,CB,England,EPL,2,3,M,H,191cm,76kg,28
2015/2016,Mirallas,Everton,80,LM,Belgium,EPL,4,4,H,M,182cm,70kg,28
2015/2016,Nacho Monreal,Arsenal,80,LB,Spain,EPL,2,2,M,H,178cm,72kg,30
2015/2016,Ivanovic,Chelsea,80,RB,Serbia,EPL,2,3,H,M,185cm,91kg,32
2015/2016,Lallana,Liverpool,80,CAM,England,EPL,4,5,H,M,172cm,73kg,28
2015/2016,Wijnaldum,Newcastle Utd,80,CAM,Netherlands,EPL,3,2,H,M,175cm,74kg,25
2015/2016,Ramires,Chelsea,80,CDM,Brazil,EPL,3,3,H,H,180cm,70kg,29
2015/2016,Gibbs,Arsenal,80,LB,England,EPL,3,2,H,M,178cm,70kg,26
2015/2016,McCarthy,Everton,80,CDM,Republic of Ireland,EPL,3,4,M,H,180cm,72kg,25
2015/2016,Rondón,West Brom,80,ST,Venezuela,EPL,4,4,H,M,189cm,85kg,26
2015/2016,Mangala,Manchester City,80,CB,France,EPL,2,4,M,H,187cm,84kg,25
2015/2016,Blind,Manchester Utd,80,CDM,Netherlands,EPL,3,3,M,H,180cm,72kg,26
2015/2016,Lukaku,Everton,80,ST,Belgium,EPL,3,4,M,M,190cm,94kg,23
2015/2016,Shaqiri,Stoke City,80,RM,Switzerland,EPL,4,4,H,M,169cm,72kg,24
2015/2016,Jones,Manchester Utd,80,CB,England,EPL,2,3,M,H,185cm,71kg,24
2015/2016,Zieler,Leicester City,80,GK,Germany,EPL,1,2,M,M,188cm,83kg,27
2015/2016,Balotelli,Liverpool,80,ST,Italy,EPL,4,4,L,L,189cm,88kg,25
2015/2016,Töre,West Ham,80,RM,Turkey,EPL,4,4,H,L,176cm,70kg,24
2015/2016,Wijnaldum,Liverpool,80,LM,Netherlands,EPL,3,2,H,M,175cm,74kg,25
2015/2016,Llorente,Swansea City,80,ST,Spain,EPL,2,3,M,M,195cm,90kg,31
2015/2016,Sissoko,Spurs,80,RM,France,EPL,2,2,H,M,187cm,83kg,26
2015/2016,Arbeloa,West Ham,80,RB,Spain,EPL,2,3,M,M,184cm,79kg,33
2015/2016,Martins Indi,Stoke City,80,CB,Netherlands,EPL,2,3,M,H,185cm,80kg,24
2015/2016,Barry,Everton,79,CDM,England,EPL,2,3,M,M,183cm,79kg,35
2015/2016,Coloccini,Newcastle Utd,79,CB,Argentina,EPL,2,4,M,M,184cm,83kg,34
2015/2016,Defoe,Sunderland,79,ST,England,EPL,3,4,M,M,170cm,70kg,33
2015/2016,Adebayor,Spurs,79,ST,Togo,EPL,4,3,M,L,191cm,82kg,32
2015/2016,Foster,West Brom,79,GK,England,EPL,1,3,M,M,193cm,90kg,33
2015/2016,Kaboul,Sunderland,79,CB,France,EPL,2,3,H,M,191cm,87kg,30
2015/2016,Sagna,Manchester City,79,RB,France,EPL,3,4,H,M,176cm,72kg,33
2015/2016,Guzan,Aston Villa,79,GK,United States,EPL,1,2,M,M,193cm,95kg,31
2015/2016,Valencia,Manchester Utd,79,RM,Ecuador,EPL,3,1,M,H,181cm,78kg,30
2015/2016,Cabaye,Crystal Palace,79,CDM,France,EPL,3,4,M,M,175cm,72kg,30
2015/2016,Richards,Aston Villa,79,CB,England,EPL,2,3,M,M,180cm,83kg,27
2015/2016,Lamela,Spurs,79,RM,Argentina,EPL,4,2,M,M,183cm,70kg,24
2015/2016,Krul,Newcastle Utd,79,GK,Netherlands,EPL,1,2,M,M,193cm,82kg,28
2015/2016,Tioté,Newcastle Utd,79,CDM,Ivory Coast,EPL,3,3,M,M,180cm,86kg,29
2015/2016,Lucas Leiva,Liverpool,79,CDM,Brazil,EPL,2,3,L,H,179cm,73kg,29
2015/2016,Ayew,Swansea City,79,LM,Ghana,EPL,3,3,H,M,176cm,72kg,26
2015/2016,Lens,Sunderland,79,LW,Netherlands,EPL,4,4,M,L,178cm,73kg,28
2015/2016,Gradel,Bournemouth,79,LW,Ivory Coast,EPL,4,3,M,M,175cm,69kg,28
2015/2016,Henderson,Liverpool,79,CM,England,EPL,3,3,H,H,182cm,67kg,25
2015/2016,Ogbonna,West Ham,79,CB,Italy,EPL,2,3,M,H,191cm,86kg,28
2015/2016,Fernando,Manchester City,79,CDM,Brazil,EPL,2,2,M,H,185cm,76kg,28
2015/2016,Kolarov,Manchester City,79,LB,Serbia,EPL,2,3,H,M,187cm,83kg,30
2015/2016,Welbeck,Arsenal,79,ST,England,EPL,3,3,H,H,185cm,73kg,25
2015/2016,Walker,Spurs,79,RB,England,EPL,2,2,H,M,178cm,70kg,25
2015/2016,Smalling,Manchester Utd,79,CB,England,EPL,2,3,M,M,192cm,81kg,26
2015/2016,Lovren,Liverpool,79,CB,Croatia,EPL,2,4,H,H,188cm,84kg,26
2015/2016,Oxlade-Chamberlain,Arsenal,79,RM,England,EPL,4,4,H,M,175cm,70kg,22
2015/2016,Barkley,Everton,79,CAM,England,EPL,3,5,M,M,189cm,76kg,22
2015/2016,Tadic,Southampton,79,LM,Serbia,EPL,4,2,M,M,181cm,76kg,27
2015/2016,Chadli,Spurs,79,LM,Belgium,EPL,3,4,M,M,189cm,86kg,26
2015/2016,Alberto Moreno,Liverpool,79,LWB,Spain,EPL,2,3,H,H,171cm,65kg,23
2015/2016,Lescott,Aston Villa,79,CB,England,EPL,2,3,M,M,188cm,89kg,33
2015/2016,Song,West Ham,79,CDM,Cameroon,EPL,3,3,M,M,185cm,74kg,28
2015/2016,Szczesny,Arsenal,79,GK,Poland,EPL,1,3,M,M,196cm,84kg,26
2015/2016,Cabella,Newcastle Utd,79,CAM,France,EPL,4,4,M,M,172cm,66kg,26
2015/2016,Batshuayi,Chelsea,79,ST,Belgium,EPL,3,4,M,L,185cm,78kg,22
2015/2016,Karius,Liverpool,79,GK,Germany,EPL,1,3,M,M,190cm,87kg,22
2015/2016,Jesús Gámez,Newcastle Utd,79,RB,Spain,EPL,2,3,M,M,182cm,77kg,31
2015/2016,Ayew,West Ham,79,RM,Ghana,EPL,3,3,H,M,176cm,72kg,26
2015/2016,Kaboul,Watford,79,CB,France,EPL,2,3,H,M,191cm,87kg,30
2015/2016,Chadli,West Brom,79,LM,Belgium,EPL,3,4,M,M,189cm,86kg,26
2015/2016,Olsson,West Brom,78,CB,Sweden,EPL,2,3,M,M,193cm,84kg,33
2015/2016,Touré,Liverpool,78,CB,Ivory Coast,EPL,2,3,M,M,178cm,76kg,35
2015/2016,Huth,Leicester City,78,CB,Germany,EPL,2,3,M,H,191cm,88kg,31
2015/2016,Caballero,Manchester City,78,GK,Argentina,EPL,1,3,M,M,186cm,80kg,34
2015/2016,Dann,Crystal Palace,78,CB,England,EPL,2,3,L,M,191cm,79kg,29
2015/2016,Fabianski,Swansea City,78,GK,Poland,EPL,1,2,M,M,190cm,83kg,31
2015/2016,Johnson,Sunderland,78,RM,England,EPL,3,4,M,M,175cm,,28
2015/2016,Bertrand,Southampton,78,LB,England,EPL,2,3,H,M,179cm,85kg,26
2015/2016,Mignolet,Liverpool,78,GK,Belgium,EPL,1,2,M,M,193cm,87kg,28
2015/2016,Reid,West Ham,78,CB,New Zealand,EPL,2,2,M,H,190cm,87kg,27
2015/2016,Ospina,Arsenal,78,GK,Colombia,EPL,1,3,M,M,183cm,79kg,27
2015/2016,Fellaini,Manchester Utd,78,CM,Belgium,EPL,3,3,M,M,194cm,85kg,28
2015/2016,Cissé,Newcastle Utd,78,ST,Senegal,EPL,3,4,M,L,183cm,73kg,30
2015/2016,Mulumbu,Norwich City,78,CDM,DR Congo,EPL,2,4,M,H,177cm,76kg,29
2015/2016,Fazio,Spurs,78,CB,Argentina,EPL,2,2,M,M,195cm,91kg,29
2015/2016,Carroll,West Ham,78,ST,England,EPL,2,3,M,M,191cm,79kg,27
2015/2016,Sissoko,Newcastle Utd,78,CAM,France,EPL,2,2,H,M,187cm,83kg,26
2015/2016,Yacob,West Brom,78,CDM,Argentina,EPL,2,3,M,H,181cm,73kg,28
2015/2016,Arnautovic,Stoke City,78,LM,Austria,EPL,4,4,M,M,192cm,83kg,27
2015/2016,Sigurðsson,Swansea City,78,CAM,Iceland,EPL,3,3,H,M,186cm,78kg,26
2015/2016,M'Vila,Sunderland,78,CDM,France,EPL,2,3,M,M,182cm,80kg,25
2015/2016,Diouf,Stoke City,78,ST,Senegal,EPL,3,3,M,M,185cm,79kg,28
2015/2016,Coquelin,Arsenal,78,CDM,France,EPL,3,3,M,H,178cm,74kg,25
2015/2016,Okazaki,Leicester City,78,ST,Japan,EPL,3,4,H,H,174cm,76kg,30
2015/2016,Adrián,West Ham,78,GK,Spain,EPL,1,2,M,M,188cm,77kg,29
2015/2016,Clasie,Southampton,78,CDM,Netherlands,EPL,2,4,M,H,169cm,70kg,24
2015/2016,Cédric,Southampton,78,RB,Portugal,EPL,2,4,H,M,172cm,67kg,24
2015/2016,Gabriel,Arsenal,78,CB,Brazil,EPL,2,2,L,H,187cm,72kg,25
2015/2016,Ramírez,Southampton,78,CAM,Uruguay,EPL,4,3,M,M,183cm,78kg,25
2015/2016,Fernández,Swansea City,78,CB,Argentina,EPL,2,2,M,H,190cm,83kg,27
2015/2016,Kane,Spurs,78,ST,England,EPL,3,3,H,H,188cm,65kg,22
2015/2016,Deulofeu,Everton,78,RM,Spain,EPL,4,4,H,L,179cm,73kg,22
2015/2016,Mané,Southampton,78,CF,Senegal,EPL,4,3,H,M,175cm,75kg,24
2015/2016,Baba,Chelsea,78,LB,Ghana,EPL,3,3,H,M,179cm,70kg,21
2015/2016,Evans,West Brom,78,CB,Northern Ireland,EPL,2,2,L,M,189cm,80kg,28
2015/2016,Djilobodji,Chelsea,78,CB,Senegal,EPL,2,2,M,M,193cm,82kg,27
2015/2016,Ibarbo,Watford,78,RW,Colombia,EPL,4,3,H,M,188cm,79kg,26
2015/2016,Mbokani,Norwich City,78,ST,DR Congo,EPL,3,3,M,M,185cm,73kg,30
2015/2016,Mané,Liverpool,78,CF,Senegal,EPL,4,3,H,M,175cm,75kg,24
2015/2016,Djilobodji,Sunderland,78,CB,Senegal,EPL,2,2,M,M,193cm,82kg,27
2015/2016,Zaza,West Ham,78,ST,Italy,EPL,3,3,H,M,186cm,81kg,24
2015/2016,Boufal,Southampton,78,LW,Morocco,EPL,5,4,H,L,170cm,60kg,22
2015/2016,Lucas Pérez,Arsenal,78,ST,Spain,EPL,4,3,H,M,180cm,78kg,27
2015/2016,Stekelenburg,Southampton,77,GK,Netherlands,EPL,1,4,M,M,197cm,92kg,33
2015/2016,Distin,Bournemouth,77,CB,France,EPL,2,2,M,H,192cm,88kg,38
2015/2016,Speroni,Crystal Palace,77,GK,Argentina,EPL,1,3,M,M,186cm,87kg,37
2015/2016,Pienaar,Everton,77,LM,South Africa,EPL,4,4,H,M,170cm,66kg,34
2015/2016,Johnson,Stoke City,77,RB,England,EPL,3,4,H,L,182cm,70kg,31
2015/2016,Britton,Swansea City,77,CM,England,EPL,3,3,L,M,167cm,65kg,33
2015/2016,Afellay,Stoke City,77,LW,Netherlands,EPL,4,4,M,M,180cm,76kg,30
2015/2016,Gomis,Swansea City,77,ST,France,EPL,2,3,H,L,184cm,77kg,30
2015/2016,Sessègnon,West Brom,77,CAM,Benin,EPL,4,3,M,L,168cm,75kg,31
2015/2016,Pellè,Southampton,77,ST,Italy,EPL,2,4,H,M,194cm,84kg,30
2015/2016,Mikel,Chelsea,77,CDM,Nigeria,EPL,2,3,M,H,188cm,83kg,29
2015/2016,Rose,Spurs,77,LB,England,EPL,3,3,H,M,173cm,72kg,25
2015/2016,Cattermole,Sunderland,77,CDM,England,EPL,2,3,L,H,178cm,76kg,28
2015/2016,Cork,Swansea City,77,CDM,England,EPL,2,4,M,H,185cm,69kg,26
2015/2016,Rodriguez,Southampton,77,LM,England,EPL,3,4,H,L,185cm,70kg,26
2015/2016,José Enrique,Liverpool,77,LB,Spain,EPL,3,2,M,M,184cm,76kg,30
2015/2016,Capoue,Watford,77,CDM,France,EPL,2,3,L,M,189cm,80kg,27
2015/2016,Ki Sung Yueng,Swansea City,77,CM,Korea Republic,EPL,3,4,H,M,186cm,75kg,27
2015/2016,Holebas,Watford,77,LB,Greece,EPL,3,2,H,M,184cm,77kg,31
2015/2016,Sánchez,Aston Villa,77,CDM,Colombia,EPL,2,3,H,M,182cm,82kg,30
2015/2016,Clark,Aston Villa,77,CB,Republic of Ireland,EPL,2,2,M,M,188cm,76kg,26
2015/2016,Delph,Manchester City,77,CM,England,EPL,3,3,H,H,174cm,60kg,26
2015/2016,Allen,Liverpool,77,CM,Wales,EPL,3,3,M,M,168cm,62kg,26
2015/2016,de Jong,Newcastle Utd,77,CAM,Netherlands,EPL,2,4,H,M,185cm,80kg,27
2015/2016,Cameron,Stoke City,77,CB,United States,EPL,2,3,M,M,191cm,84kg,30
2015/2016,Montero,Swansea City,77,LW,Ecuador,EPL,4,4,H,H,169cm,64kg,26
2015/2016,Janmaat,Newcastle Utd,77,RB,Netherlands,EPL,3,3,H,M,185cm,80kg,26
2015/2016,Wanyama,Southampton,77,CDM,Kenya,EPL,2,3,M,H,188cm,76kg,24
2015/2016,Shelvey,Swansea City,77,CM,England,EPL,2,3,M,L,184cm,83kg,24
2015/2016,Cleverley,Everton,77,CM,England,EPL,3,3,M,M,175cm,67kg,26
2015/2016,Nyom,Watford,77,RB,Cameroon,EPL,2,2,H,M,189cm,81kg,28
2015/2016,Caulker,Southampton,77,CB,England,EPL,2,2,M,H,191cm,77kg,24
2015/2016,Zaha,Crystal Palace,77,RW,England,EPL,4,3,M,L,180cm,66kg,23
2015/2016,Stones,Everton,77,CB,England,EPL,2,3,H,M,188cm,75kg,21
2015/2016,Okore,Aston Villa,77,CB,Denmark,EPL,2,3,M,H,183cm,80kg,23
2015/2016,Zouma,Chelsea,77,CB,France,EPL,2,3,M,M,190cm,85kg,21
2015/2016,Shaw,Manchester Utd,77,LB,England,EPL,2,2,H,M,185cm,75kg,20
2015/2016,Wimmer,Spurs,77,CB,Austria,EPL,2,3,M,M,187cm,85kg,23
2015/2016,Mbemba,Newcastle Utd,77,CB,DR Congo,EPL,2,3,H,M,182cm,82kg,21
2015/2016,Lindegaard,West Brom,77,GK,Denmark,EPL,1,3,M,M,193cm,79kg,32
2015/2016,Lennon,Everton,77,RM,England,EPL,3,3,H,M,165cm,63kg,29
2015/2016,Son,Spurs,77,LM,Korea Republic,EPL,3,5,M,M,184cm,79kg,23
2015/2016,van Dijk,Southampton,77,CB,Netherlands,EPL,2,3,H,M,193cm,92kg,24
2015/2016,Martial,Manchester Utd,77,ST,France,EPL,3,4,H,M,181cm,76kg,20
2015/2016,Iturbe,Bournemouth,77,RW,Argentina,EPL,4,3,H,M,172cm,68kg,22
2015/2016,Markovic,Liverpool,77,RM,Serbia,EPL,4,3,M,M,175cm,66kg,22
2015/2016,Marin,Chelsea,77,CAM,Germany,EPL,4,4,H,M,170cm,64kg,27
2015/2016,Wanyama,Spurs,77,CDM,Kenya,EPL,2,3,M,H,188cm,76kg,24
2015/2016,Stekelenburg,Everton,77,GK,Netherlands,EPL,1,4,M,M,197cm,92kg,33
2015/2016,Nordtveit,West Ham,77,CB,Norway,EPL,2,3,M,M,188cm,83kg,25
2015/2016,Bailly,Manchester Utd,77,CB,Ivory Coast,EPL,2,2,H,L,187cm,77kg,22
2015/2016,Klavan,Liverpool,77,CB,Estonia,EPL,2,3,H,M,187cm,85kg,30
2015/2016,Zúñiga,Watford,77,LB,Colombia,EPL,4,2,H,M,172cm,72kg,30
2015/2016,Kanté,Chelsea,77,CM,France,EPL,3,3,M,M,169cm,69kg,25
2015/2016,Allen,Stoke City,77,CM,Wales,EPL,3,3,M,M,168cm,62kg,26
2015/2016,Stones,Manchester City,77,CB,England,EPL,2,3,H,M,188cm,75kg,21
2015/2016,Clark,Newcastle Utd,77,CB,Republic of Ireland,EPL,2,2,M,M,188cm,76kg,26
2015/2016,Bolasie,Everton,77,LM,DR Congo,EPL,5,4,H,M,185cm,84kg,27
2015/2016,Pienaar,Sunderland,77,LM,South Africa,EPL,4,4,H,M,170cm,66kg,34
2015/2016,Nyom,West Brom,77,RB,Cameroon,EPL,2,2,H,M,189cm,81kg,28
2015/2016,Janmaat,Watford,77,RB,Netherlands,EPL,3,3,H,M,185cm,80kg,26
2015/2016,Crouch,Stoke City,76,ST,England,EPL,3,3,M,M,201cm,84kg,35
2015/2016,Routledge,Swansea City,76,LM,England,EPL,4,4,H,H,170cm,77kg,31
2015/2016,Boruc,Bournemouth,76,GK,Poland,EPL,1,3,M,M,193cm,87kg,36
2015/2016,Koné,Everton,76,ST,Ivory Coast,EPL,4,4,M,M,182cm,81kg,32
2015/2016,Davis,Southampton,76,CM,Northern Ireland,EPL,3,3,H,H,173cm,72kg,31
2015/2016,Noble,West Ham,76,CM,England,EPL,3,3,H,H,180cm,76kg,29
2015/2016,Zárate,West Ham,76,ST,Argentina,EPL,4,4,M,L,176cm,76kg,29
2015/2016,Àngel Rangel,Swansea City,76,RB,Spain,EPL,3,3,H,M,180cm,82kg,33
2015/2016,McGeady,Everton,76,RM,Republic of Ireland,EPL,5,4,H,M,177cm,71kg,30
2015/2016,Flamini,Arsenal,76,CDM,France,EPL,2,3,M,H,178cm,67kg,32
2015/2016,Taylor,Newcastle Utd,76,CB,England,EPL,2,3,M,H,186cm,91kg,30
2015/2016,Behrami,Watford,76,CDM,Switzerland,EPL,2,4,M,H,185cm,78kg,31
2015/2016,Naismith,Everton,76,CAM,Scotland,EPL,3,3,H,H,178cm,72kg,29
2015/2016,Fletcher,Sunderland,76,ST,Scotland,EPL,2,3,M,L,186cm,76kg,29
2015/2016,Michu,Swansea City,76,ST,Spain,EPL,3,3,H,H,185cm,80kg,30
2015/2016,Gibson,Everton,76,CM,Republic of Ireland,EPL,2,4,M,M,180cm,80kg,28
2015/2016,McArthur,Crystal Palace,76,CDM,Scotland,EPL,3,3,M,M,178cm,64kg,28
2015/2016,Forster,Southampton,76,GK,England,EPL,1,5,M,M,201cm,93kg,28
2015/2016,Romero,Manchester Utd,76,GK,Argentina,EPL,1,3,M,M,192cm,87kg,29
