season,player_name,team,player_rating,position,nation,league,skill_moves,weak_foot_quality,work_rate_a,work_rate_d,player_height,player_weight,age
2015/2016,Hazard,Chelsea,89,LM,Belgium,EPL,4,4,H,M,173cm,74kg,25
2015/2016,Ibrahimovic,Manchester Utd,89,ST,Sweden,EPL,4,4,M,L,195cm,95kg,34
2015/2016,David Silva,Manchester City,88,CAM,Spain,EPL,4,2,H,L,170cm,67kg,30
2015/2016,Agüero,Manchester City,87,ST,Argentina,EPL,4,4,H,M,172cm,74kg,27
2015/2016,Cesc Fàbregas,Chelsea,87,CM,Spain,EPL,3,3,H,M,175cm,74kg,29
2015/2016,Özil,Arsenal,87,CAM,Germany,EPL,4,2,M,L,183cm,76kg,27
2015/2016,Rooney,Manchester Utd,86,ST,England,EPL,3,4,M,H,176cm,83kg,30
2015/2016,Schweinsteiger,Manchester Utd,86,CM,Germany,EPL,3,3,H,H,183cm,79kg,31
2015/2016,Diego Costa,Chelsea,86,ST,Spain,EPL,3,4,H,M,188cm,85kg,27
2015/2016,Sánchez,Arsenal,86,LW,Chile,EPL,4,3,H,H,169cm,62kg,27
2015/2016,Courtois,Chelsea,86,GK,Belgium,EPL,1,3,M,M,199cm,88kg,24
2015/2016,De Gea,Manchester Utd,86,GK,Spain,EPL,1,3,M,M,193cm,82kg,25
2015/2016,De Bruyne,Manchester City,86,CAM,Belgium,EPL,4,5,H,M,181cm,76kg,24
2015/2016,Pogba,Manchester Utd,86,CM,France,EPL,4,4,H,M,188cm,80kg,23
2015/2016,Terry,Chelsea,85,CB,England,EPL,2,4,M,H,187cm,90kg,35
2015/2016,Touré,Manchester City,85,CM,Ivory Coast,EPL,3,4,M,L,189cm,90kg,33
2015/2016,Cech,Arsenal,85,GK,Czech Republic,EPL,1,3,M,M,196cm,90kg,34
2015/2016,Kompany,Manchester City,85,CB,Belgium,EPL,2,3,M,M,192cm,85kg,30
2015/2016,Santi Cazorla,Arsenal,85,CAM,Spain,EPL,4,5,M,M,168cm,66kg,31
2015/2016,Lloris,Spurs,84,GK,France,EPL,1,1,M,M,188cm,78kg,29
2015/2016,Juan Mata,Manchester Utd,84,RM,Spain,EPL,4,3,M,M,170cm,63kg,28
2015/2016,Oscar,Chelsea,84,CAM,Brazil,EPL,4,3,M,H,179cm,67kg,24
2015/2016,Coutinho,Liverpool,84,CAM,Brazil,EPL,4,4,H,M,171cm,68kg,23
