date,home_team,away_team,game_id,url,stage
2019-08-09 20:00:00,Liverpool,Norwich,1375927,https://www.whoscored.com/Matches/1375927/Live/England-Premier-League-2019-2020-Liverpool-Norwich,
2019-08-10 15:00:00,Bournemouth,Sheffield United,1375929,https://www.whoscored.com/Matches/1375929/Live/England-Premier-League-2019-2020-Bournemouth-Sheffield-United,
2019-08-10 15:00:00,Burnley,Southampton,1375930,https://www.whoscored.com/Matches/1375930/Live/England-Premier-League-2019-2020-Burnley-Southampton,
2019-08-10 15:00:00,Crystal Palace,Everton,1375931,https://www.whoscored.com/Matches/1375931/Live/England-Premier-League-2019-2020-Crystal-Palace-Everton,
2019-08-10 17:30:00,Tottenham,Aston Villa,1375934,https://www.whoscored.com/Matches/1375934/Live/England-Premier-League-2019-2020-Tottenham-Aston-Villa,
2019-08-10 15:00:00,Watford,Brighton,1375933,https://www.whoscored.com/Matches/1375933/Live/England-Premier-League-2019-2020-Watford-Brighton,
2019-08-10 12:30:00,West Ham,Manchester City,1375928,https://www.whoscored.com/Matches/1375928/Live/England-Premier-League-2019-2020-West-Ham-Manchester-City,
2019-08-11 14:00:00,Leicester,Wolverhampton,1375932,https://www.whoscored.com/Matches/1375932/Live/England-Premier-League-2019-2020-Leicester-Wolverhampton,
2019-08-11 16:30:00,Manchester United,Chelsea,1375936,https://www.whoscored.com/Matches/1375936/Live/England-Premier-League-2019-2020-Manchester-United-Chelsea,
2019-08-11 14:00:00,Newcastle,Arsenal,1375935,https://www.whoscored.com/Matches/1375935/Live/England-Premier-League-2019-2020-Newcastle-Arsenal,
2019-08-17 12:30:00,Arsenal,Burnley,1375937,https://www.whoscored.com/Matches/1375937/Live/England-Premier-League-2019-2020-Arsenal-Burnley,
2019-08-17 15:00:00,Aston Villa,Bournemouth,1375938,https://www.whoscored.com/Matches/1375938/Live/England-Premier-League-2019-2020-Aston-Villa-Bournemouth,
2019-08-17 15:00:00,Brighton,West Ham,1375939,https://www.whoscored.com/Matches/1375939/Live/England-Premier-League-2019-2020-Brighton-West-Ham,
