date,home_team,away_team,game_id,url,stage
2009-08-15 15:00:00,Aston Villa,Wigan,317787,https://www.whoscored.com/Matches/317787/Live/England-Premier-League-2009-2010-Aston-Villa-Wigan,
2009-08-15 15:00:00,Blackburn,Manchester City,317790,https://www.whoscored.com/Matches/317790/Live/England-Premier-League-2009-2010-Blackburn-Manchester-City,
2009-08-15 15:00:00,Bolton,Sunderland,317791,https://www.whoscored.com/Matches/317791/Live/England-Premier-League-2009-2010-Bolton-Sunderland,
2009-08-15 12:45:00,Chelsea,Hull,317794,https://www.whoscored.com/Matches/317794/Live/England-Premier-League-2009-2010-Chelsea-Hull,
2009-08-15 17:30:00,Everton,Arsenal,317788,https://www.whoscored.com/Matches/317788/Live/England-Premier-League-2009-2010-Everton-Arsenal,
2009-08-15 15:00:00,Portsmouth,Fulham,317792,https://www.whoscored.com/Matches/317792/Live/England-Premier-League-2009-2010-Portsmouth-Fulham,
2009-08-15 15:00:00,Stoke,Burnley,317793,https://www.whoscored.com/Matches/317793/Live/England-Premier-League-2009-2010-Stoke-Burnley,
2009-08-15 15:00:00,Wolverhampton,West Ham,317789,https://www.whoscored.com/Matches/317789/Live/England-Premier-League-2009-2010-Wolverhampton-West-Ham,
2009-08-16 13:30:00,Manchester United,Birmingham,317783,https://www.whoscored.com/Matches/317783/Live/England-Premier-League-2009-2010-Manchester-United-Birmingham,
2009-08-16 16:00:00,Tottenham,Liverpool,317786,https://www.whoscored.com/Matches/317786/Live/England-Premier-League-2009-2010-Tottenham-Liverpool,
2009-08-18 19:45:00,Sunderland,Chelsea,317796,https://www.whoscored.com/Matches/317796/Live/England-Premier-League-2009-2010-Sunderland-Chelsea,
2009-08-18 19:45:00,Wigan,Wolverhampton,317802,https://www.whoscored.com/Matches/317802/Live/England-Premier-League-2009-2010-Wigan-Wolverhampton,
2009-08-19 19:45:00,Birmingham,Portsmouth,317799,https://www.whoscored.com/Matches/317799/Live/England-Premier-League-2009-2010-Birmingham-Portsmouth,
2009-08-19 19:45:00,Burnley,Manchester United,317801,https://www.whoscored.com/Matches/317801/Live/England-Premier-League-2009-2010-Burnley-Manchester-United,
2009-08-19 19:45:00,Hull,Tottenham,317800,https://www.whoscored.com/Matches/317800/Live/England-Premier-League-2009-2010-Hull-Tottenham,
2009-08-19 20:00:00,Liverpool,Stoke,317803,https://www.whoscored.com/Matches/317803/Live/England-Premier-League-2009-2010-Liverpool-Stoke,
2009-08-22 15:00:00,Arsenal,Portsmouth,317805,https://www.whoscored.com/Matches/317805/Live/England-Premier-League-2009-2010-Arsenal-Portsmouth,
2009-08-22 15:00:00,Birmingham,Stoke,317811,https://www.whoscored.com/Matches/317811/Live/England-Premier-League-2009-2010-Birmingham-Stoke,
2009-08-22 15:00:00,Hull,Bolton,317812,https://www.whoscored.com/Matches/317812/Live/England-Premier-League-2009-2010-Hull-Bolton,
2009-08-22 15:00:00,Manchester City,Wolverhampton,317809,https://www.whoscored.com/Matches/317809/Live/England-Premier-League-2009-2010-Manchester-City-Wolverhampton,
2009-08-22 15:00:00,Sunderland,Blackburn,317807,https://www.whoscored.com/Matches/317807/Live/England-Premier-League-2009-2010-Sunderland-Blackburn,
2009-08-22 15:00:00,Wigan,Manchester United,317814,https://www.whoscored.com/Matches/317814/Live/England-Premier-League-2009-2010-Wigan-Manchester-United,
2009-08-23 15:00:00,Burnley,Everton,317813,https://www.whoscored.com/Matches/317813/Live/England-Premier-League-2009-2010-Burnley-Everton,
2009-08-23 16:00:00,Fulham,Chelsea,317810,https://www.whoscored.com/Matches/317810/Live/England-Premier-League-2009-2010-Fulham-Chelsea,
2009-08-23 13:30:00,West Ham,Tottenham,317808,https://www.whoscored.com/Matches/317808/Live/England-Premier-League-2009-2010-West-Ham-Tottenham,
