date,home_team,away_team,game_id,url,stage
2011-08-13 15:00:00,Blackburn,Wolverhampton,505326,https://www.whoscored.com/Matches/505326/Live/England-Premier-League-2011-2012-Blackburn-Wolverhampton,
2011-08-13 15:00:00,Fulham,Aston Villa,505327,https://www.whoscored.com/Matches/505327/Live/England-Premier-League-2011-2012-Fulham-Aston-Villa,
2011-08-13 15:00:00,Liverpool,Sunderland,505329,https://www.whoscored.com/Matches/505329/Live/England-Premier-League-2011-2012-Liverpool-Sunderland,
2011-08-13 17:30:00,Newcastle,Arsenal,505335,https://www.whoscored.com/Matches/505335/Live/England-Premier-League-2011-2012-Newcastle-Arsenal,
2011-08-13 15:00:00,Queens Park Rangers,Bolton,505337,https://www.whoscored.com/Matches/505337/Live/England-Premier-League-2011-2012-Queens-Park-Rangers-Bolton,
2011-08-13 15:00:00,Wigan,Norwich,505346,https://www.whoscored.com/Matches/505346/Live/England-Premier-League-2011-2012-Wigan-Norwich,
2011-08-14 13:30:00,Stoke,Chelsea,505339,https://www.whoscored.com/Matches/505339/Live/England-Premier-League-2011-2012-Stoke-Chelsea,
2011-08-14 16:00:00,West Bromwich,Manchester United,505344,https://www.whoscored.com/Matches/505344/Live/England-Premier-League-2011-2012-West-Bromwich-Manchester-United,
2011-08-15 20:00:00,Manchester City,Swansea,505331,https://www.whoscored.com/Matches/505331/Live/England-Premier-League-2011-2012-Manchester-City-Swansea,
2011-08-20 12:45:00,Arsenal,Liverpool,505437,https://www.whoscored.com/Matches/505437/Live/England-Premier-League-2011-2012-Arsenal-Liverpool,
2011-08-20 15:00:00,Aston Villa,Blackburn,505444,https://www.whoscored.com/Matches/505444/Live/England-Premier-League-2011-2012-Aston-Villa-Blackburn,
2011-08-20 17:30:00,Chelsea,West Bromwich,505453,https://www.whoscored.com/Matches/505453/Live/England-Premier-League-2011-2012-Chelsea-West-Bromwich,
2011-08-20 15:00:00,Everton,Queens Park Rangers,505459,https://www.whoscored.com/Matches/505459/Live/England-Premier-League-2011-2012-Everton-Queens-Park-Rangers,
2011-08-20 12:00:00,Sunderland,Newcastle,505469,https://www.whoscored.com/Matches/505469/Live/England-Premier-League-2011-2012-Sunderland-Newcastle,
2011-08-20 15:00:00,Swansea,Wigan,505475,https://www.whoscored.com/Matches/505475/Live/England-Premier-League-2011-2012-Swansea-Wigan,
2011-08-21 16:00:00,Bolton,Manchester City,505448,https://www.whoscored.com/Matches/505448/Live/England-Premier-League-2011-2012-Bolton-Manchester-City,
2011-08-21 13:30:00,Norwich,Stoke,505467,https://www.whoscored.com/Matches/505467/Live/England-Premier-League-2011-2012-Norwich-Stoke,
2011-08-21 14:00:00,Wolverhampton,Fulham,505477,https://www.whoscored.com/Matches/505477/Live/England-Premier-League-2011-2012-Wolverhampton-Fulham,
2011-08-22 20:00:00,Manchester United,Tottenham,505463,https://www.whoscored.com/Matches/505463/Live/England-Premier-League-2011-2012-Manchester-United-Tottenham,
2011-08-27 12:05:00,Aston Villa,Wolverhampton,505482,https://www.whoscored.com/Matches/505482/Live/England-Premier-League-2011-2012-Aston-Villa-Wolverhampton,
2011-08-27 15:00:00,Blackburn,Everton,505485,https://www.whoscored.com/Matches/505485/Live/England-Premier-League-2011-2012-Blackburn-Everton,
2011-08-27 15:00:00,Chelsea,Norwich,505490,https://www.whoscored.com/Matches/505490/Live/England-Premier-League-2011-2012-Chelsea-Norwich,
2011-08-27 17:30:00,Liverpool,Bolton,505495,https://www.whoscored.com/Matches/505495/Live/England-Premier-League-2011-2012-Liverpool-Bolton,
2011-08-27 15:00:00,Swansea,Sunderland,505508,https://www.whoscored.com/Matches/505508/Live/England-Premier-League-2011-2012-Swansea-Sunderland,
2011-08-27 12:30:00,Wigan,Queens Park Rangers,505521,https://www.whoscored.com/Matches/505521/Live/England-Premier-League-2011-2012-Wigan-Queens-Park-Rangers,
2011-08-28 16:00:00,Manchester United,Arsenal,505502,https://www.whoscored.com/Matches/505502/Live/England-Premier-League-2011-2012-Manchester-United-Arsenal,
2011-08-28 13:00:00,Newcastle,Fulham,505504,https://www.whoscored.com/Matches/505504/Live/England-Premier-League-2011-2012-Newcastle-Fulham,
2011-08-28 13:30:00,Tottenham,Manchester City,505512,https://www.whoscored.com/Matches/505512/Live/England-Premier-League-2011-2012-Tottenham-Manchester-City,
2011-08-28 15:00:00,West Bromwich,Stoke,505516,https://www.whoscored.com/Matches/505516/Live/England-Premier-League-2011-2012-West-Bromwich-Stoke,
2011-09-10 15:00:00,Arsenal,Swansea,505550,https://www.whoscored.com/Matches/505550/Live/England-Premier-League-2011-2012-Arsenal-Swansea,
2011-09-10 17:30:00,Bolton,Manchester United,505554,https://www.whoscored.com/Matches/505554/Live/England-Premier-League-2011-2012-Bolton-Manchester-United,
2011-09-10 15:00:00,Everton,Aston Villa,505557,https://www.whoscored.com/Matches/505557/Live/England-Premier-League-2011-2012-Everton-Aston-Villa,
2011-09-10 15:00:00,Manchester City,Wigan,505566,https://www.whoscored.com/Matches/505566/Live/England-Premier-League-2011-2012-Manchester-City-Wigan,
2011-09-10 15:00:00,Stoke,Liverpool,505574,https://www.whoscored.com/Matches/505574/Live/England-Premier-League-2011-2012-Stoke-Liverpool,
2011-09-10 15:00:00,Sunderland,Chelsea,505577,https://www.whoscored.com/Matches/505577/Live/England-Premier-League-2011-2012-Sunderland-Chelsea,
2011-09-10 15:00:00,Wolverhampton,Tottenham,505580,https://www.whoscored.com/Matches/505580/Live/England-Premier-League-2011-2012-Wolverhampton-Tottenham,
2011-09-11 16:00:00,Fulham,Blackburn,505562,https://www.whoscored.com/Matches/505562/Live/England-Premier-League-2011-2012-Fulham-Blackburn,
2011-09-11 13:30:00,Norwich,West Bromwich,505569,https://www.whoscored.com/Matches/505569/Live/England-Premier-League-2011-2012-Norwich-West-Bromwich,
2011-09-12 20:00:00,Queens Park Rangers,Newcastle,505571,https://www.whoscored.com/Matches/505571/Live/England-Premier-League-2011-2012-Queens-Park-Rangers-Newcastle,
2011-09-17 15:00:00,Aston Villa,Newcastle,505592,https://www.whoscored.com/Matches/505592/Live/England-Premier-League-2011-2012-Aston-Villa-Newcastle,
2011-09-17 12:45:00,Blackburn,Arsenal,505593,https://www.whoscored.com/Matches/505593/Live/England-Premier-League-2011-2012-Blackburn-Arsenal,
2011-09-17 15:00:00,Bolton,Norwich,505596,https://www.whoscored.com/Matches/505596/Live/England-Premier-League-2011-2012-Bolton-Norwich,
2011-09-17 15:00:00,Everton,Wigan,505599,https://www.whoscored.com/Matches/505599/Live/England-Premier-League-2011-2012-Everton-Wigan,
2011-09-17 15:00:00,Swansea,West Bromwich,505612,https://www.whoscored.com/Matches/505612/Live/England-Premier-League-2011-2012-Swansea-West-Bromwich,
2011-09-17 15:00:00,Wolverhampton,Queens Park Rangers,505622,https://www.whoscored.com/Matches/505622/Live/England-Premier-League-2011-2012-Wolverhampton-Queens-Park-Rangers,
2011-09-18 15:00:00,Fulham,Manchester City,505602,https://www.whoscored.com/Matches/505602/Live/England-Premier-League-2011-2012-Fulham-Manchester-City,
2011-09-18 16:00:00,Manchester United,Chelsea,505605,https://www.whoscored.com/Matches/505605/Live/England-Premier-League-2011-2012-Manchester-United-Chelsea,
2011-09-18 15:00:00,Sunderland,Stoke,505609,https://www.whoscored.com/Matches/505609/Live/England-Premier-League-2011-2012-Sunderland-Stoke,
2011-09-18 13:30:00,Tottenham,Liverpool,505615,https://www.whoscored.com/Matches/505615/Live/England-Premier-League-2011-2012-Tottenham-Liverpool,
2011-09-24 15:00:00,Arsenal,Bolton,505631,https://www.whoscored.com/Matches/505631/Live/England-Premier-League-2011-2012-Arsenal-Bolton,
2011-09-24 15:00:00,Chelsea,Swansea,505636,https://www.whoscored.com/Matches/505636/Live/England-Premier-League-2011-2012-Chelsea-Swansea,
2011-09-24 15:00:00,Liverpool,Wolverhampton,505638,https://www.whoscored.com/Matches/505638/Live/England-Premier-League-2011-2012-Liverpool-Wolverhampton,
2011-09-24 12:45:00,Manchester City,Everton,505644,https://www.whoscored.com/Matches/505644/Live/England-Premier-League-2011-2012-Manchester-City-Everton,
2011-09-24 15:00:00,Newcastle,Blackburn,505646,https://www.whoscored.com/Matches/505646/Live/England-Premier-League-2011-2012-Newcastle-Blackburn,
2011-09-24 17:30:00,Stoke,Manchester United,505659,https://www.whoscored.com/Matches/505659/Live/England-Premier-League-2011-2012-Stoke-Manchester-United,
2011-09-24 15:00:00,West Bromwich,Fulham,505664,https://www.whoscored.com/Matches/505664/Live/England-Premier-League-2011-2012-West-Bromwich-Fulham,
2011-09-24 15:00:00,Wigan,Tottenham,505669,https://www.whoscored.com/Matches/505669/Live/England-Premier-League-2011-2012-Wigan-Tottenham,
2011-09-25 16:00:00,Queens Park Rangers,Aston Villa,505655,https://www.whoscored.com/Matches/505655/Live/England-Premier-League-2011-2012-Queens-Park-Rangers-Aston-Villa,
2011-09-26 20:00:00,Norwich,Sunderland,505651,https://www.whoscored.com/Matches/505651/Live/England-Premier-League-2011-2012-Norwich-Sunderland,
2011-10-01 15:00:00,Aston Villa,Wigan,505679,https://www.whoscored.com/Matches/505679/Live/England-Premier-League-2011-2012-Aston-Villa-Wigan,
2011-10-01 15:00:00,Blackburn,Manchester City,505685,https://www.whoscored.com/Matches/505685/Live/England-Premier-League-2011-2012-Blackburn-Manchester-City,
2011-10-01 12:45:00,Everton,Liverpool,505691,https://www.whoscored.com/Matches/505691/Live/England-Premier-League-2011-2012-Everton-Liverpool,
2011-10-01 15:00:00,Manchester United,Norwich,505696,https://www.whoscored.com/Matches/505696/Live/England-Premier-League-2011-2012-Manchester-United-Norwich,
2011-10-01 15:00:00,Sunderland,West Bromwich,505699,https://www.whoscored.com/Matches/505699/Live/England-Premier-League-2011-2012-Sunderland-West-Bromwich,
2011-10-01 15:00:00,Wolverhampton,Newcastle,505708,https://www.whoscored.com/Matches/505708/Live/England-Premier-League-2011-2012-Wolverhampton-Newcastle,
2011-10-02 13:30:00,Bolton,Chelsea,505688,https://www.whoscored.com/Matches/505688/Live/England-Premier-League-2011-2012-Bolton-Chelsea,
2011-10-02 15:00:00,Fulham,Queens Park Rangers,505694,https://www.whoscored.com/Matches/505694/Live/England-Premier-League-2011-2012-Fulham-Queens-Park-Rangers,
2011-10-02 15:00:00,Swansea,Stoke,505701,https://www.whoscored.com/Matches/505701/Live/England-Premier-League-2011-2012-Swansea-Stoke,
2011-10-02 16:00:00,Tottenham,Arsenal,505703,https://www.whoscored.com/Matches/505703/Live/England-Premier-League-2011-2012-Tottenham-Arsenal,
2011-10-15 17:30:00,Chelsea,Everton,505722,https://www.whoscored.com/Matches/505722/Live/England-Premier-League-2011-2012-Chelsea-Everton,
2011-10-15 12:45:00,Liverpool,Manchester United,505727,https://www.whoscored.com/Matches/505727/Live/England-Premier-League-2011-2012-Liverpool-Manchester-United,
2011-10-15 15:00:00,Manchester City,Aston Villa,505729,https://www.whoscored.com/Matches/505729/Live/England-Premier-League-2011-2012-Manchester-City-Aston-Villa,
2011-10-15 15:00:00,Norwich,Swansea,505743,https://www.whoscored.com/Matches/505743/Live/England-Premier-League-2011-2012-Norwich-Swansea,
2011-10-15 15:00:00,Queens Park Rangers,Blackburn,505747,https://www.whoscored.com/Matches/505747/Live/England-Premier-League-2011-2012-Queens-Park-Rangers-Blackburn,
2011-10-15 15:00:00,Stoke,Fulham,505752,https://www.whoscored.com/Matches/505752/Live/England-Premier-League-2011-2012-Stoke-Fulham,
2011-10-15 15:00:00,Wigan,Bolton,505762,https://www.whoscored.com/Matches/505762/Live/England-Premier-League-2011-2012-Wigan-Bolton,
2011-10-16 13:30:00,Arsenal,Sunderland,505717,https://www.whoscored.com/Matches/505717/Live/England-Premier-League-2011-2012-Arsenal-Sunderland,
2011-10-16 16:00:00,Newcastle,Tottenham,505733,https://www.whoscored.com/Matches/505733/Live/England-Premier-League-2011-2012-Newcastle-Tottenham,
2011-10-16 12:00:00,West Bromwich,Wolverhampton,505759,https://www.whoscored.com/Matches/505759/Live/England-Premier-League-2011-2012-West-Bromwich-Wolverhampton,
2011-10-22 15:00:00,Aston Villa,West Bromwich,505779,https://www.whoscored.com/Matches/505779/Live/England-Premier-League-2011-2012-Aston-Villa-West-Bromwich,
2011-10-22 15:00:00,Bolton,Sunderland,505788,https://www.whoscored.com/Matches/505788/Live/England-Premier-League-2011-2012-Bolton-Sunderland,
2011-10-22 17:30:00,Liverpool,Norwich,505797,https://www.whoscored.com/Matches/505797/Live/England-Premier-League-2011-2012-Liverpool-Norwich,
2011-10-22 15:00:00,Newcastle,Wigan,505806,https://www.whoscored.com/Matches/505806/Live/England-Premier-League-2011-2012-Newcastle-Wigan,
2011-10-22 12:45:00,Wolverhampton,Swansea,505815,https://www.whoscored.com/Matches/505815/Live/England-Premier-League-2011-2012-Wolverhampton-Swansea,
2011-10-23 13:30:00,Arsenal,Stoke,505768,https://www.whoscored.com/Matches/505768/Live/England-Premier-League-2011-2012-Arsenal-Stoke,
2011-10-23 15:00:00,Blackburn,Tottenham,505785,https://www.whoscored.com/Matches/505785/Live/England-Premier-League-2011-2012-Blackburn-Tottenham,
2011-10-23 13:30:00,Fulham,Everton,505791,https://www.whoscored.com/Matches/505791/Live/England-Premier-League-2011-2012-Fulham-Everton,
2011-10-23 13:30:00,Manchester United,Manchester City,505801,https://www.whoscored.com/Matches/505801/Live/England-Premier-League-2011-2012-Manchester-United-Manchester-City,
2011-10-23 16:00:00,Queens Park Rangers,Chelsea,505809,https://www.whoscored.com/Matches/505809/Live/England-Premier-League-2011-2012-Queens-Park-Rangers-Chelsea,
2011-10-29 12:45:00,Chelsea,Arsenal,505825,https://www.whoscored.com/Matches/505825/Live/England-Premier-League-2011-2012-Chelsea-Arsenal,
2011-10-29 12:00:00,Everton,Manchester United,505827,https://www.whoscored.com/Matches/505827/Live/England-Premier-League-2011-2012-Everton-Manchester-United,
