date,home_team,away_team,game_id,url,stage
2012-08-18 15:00:00,Arsenal,Sunderland,614051,https://www.whoscored.com/Matches/614051/Live/England-Premier-League-2012-2013-Arsenal-Sunderland,
2012-08-18 15:00:00,Fulham,Norwich,614053,https://www.whoscored.com/Matches/614053/Live/England-Premier-League-2012-2013-Fulham-Norwich,
2012-08-18 17:30:00,Newcastle,Tottenham,614055,https://www.whoscored.com/Matches/614055/Live/England-Premier-League-2012-2013-Newcastle-Tottenham,
2012-08-18 15:00:00,Queens Park Rangers,Swansea,614056,https://www.whoscored.com/Matches/614056/Live/England-Premier-League-2012-2013-Queens-Park-Rangers-Swansea,
2012-08-18 15:00:00,Reading,Stoke,614057,https://www.whoscored.com/Matches/614057/Live/England-Premier-League-2012-2013-Reading-Stoke,
2012-08-18 15:00:00,West Bromwich,Liverpool,614058,https://www.whoscored.com/Matches/614058/Live/England-Premier-League-2012-2013-West-Bromwich-Liverpool,
2012-08-18 15:00:00,West Ham,Aston Villa,614059,https://www.whoscored.com/Matches/614059/Live/England-Premier-League-2012-2013-West-Ham-Aston-Villa,
2012-08-19 16:00:00,Manchester City,Southampton,614054,https://www.whoscored.com/Matches/614054/Live/England-Premier-League-2012-2013-Manchester-City-Southampton,
2012-08-19 13:30:00,Wigan,Chelsea,614060,https://www.whoscored.com/Matches/614060/Live/England-Premier-League-2012-2013-Wigan-Chelsea,
2012-08-20 20:00:00,Everton,Manchester United,614052,https://www.whoscored.com/Matches/614052/Live/England-Premier-League-2012-2013-Everton-Manchester-United,
2012-08-22 19:45:00,Chelsea,Reading,614123,https://www.whoscored.com/Matches/614123/Live/England-Premier-League-2012-2013-Chelsea-Reading,
2012-08-25 15:00:00,Aston Villa,Everton,614112,https://www.whoscored.com/Matches/614112/Live/England-Premier-League-2012-2013-Aston-Villa-Everton,
2012-08-25 17:30:00,Chelsea,Newcastle,614113,https://www.whoscored.com/Matches/614113/Live/England-Premier-League-2012-2013-Chelsea-Newcastle,
2012-08-25 15:00:00,Manchester United,Fulham,614115,https://www.whoscored.com/Matches/614115/Live/England-Premier-League-2012-2013-Manchester-United-Fulham,
2012-08-25 15:00:00,Norwich,Queens Park Rangers,614116,https://www.whoscored.com/Matches/614116/Live/England-Premier-League-2012-2013-Norwich-Queens-Park-Rangers,
2012-08-25 15:00:00,Southampton,Wigan,614117,https://www.whoscored.com/Matches/614117/Live/England-Premier-League-2012-2013-Southampton-Wigan,
2012-08-25 12:45:00,Swansea,West Ham,614120,https://www.whoscored.com/Matches/614120/Live/England-Premier-League-2012-2013-Swansea-West-Ham,
2012-08-25 15:00:00,Tottenham,West Bromwich,614121,https://www.whoscored.com/Matches/614121/Live/England-Premier-League-2012-2013-Tottenham-West-Bromwich,
2012-08-26 16:00:00,Liverpool,Manchester City,614114,https://www.whoscored.com/Matches/614114/Live/England-Premier-League-2012-2013-Liverpool-Manchester-City,
2012-08-26 13:30:00,Stoke,Arsenal,614118,https://www.whoscored.com/Matches/614118/Live/England-Premier-League-2012-2013-Stoke-Arsenal,
2012-09-01 17:30:00,Manchester City,Queens Park Rangers,614125,https://www.whoscored.com/Matches/614125/Live/England-Premier-League-2012-2013-Manchester-City-Queens-Park-Rangers,
2012-09-01 15:00:00,Swansea,Sunderland,614128,https://www.whoscored.com/Matches/614128/Live/England-Premier-League-2012-2013-Swansea-Sunderland,
2012-09-01 15:00:00,Tottenham,Norwich,614131,https://www.whoscored.com/Matches/614131/Live/England-Premier-League-2012-2013-Tottenham-Norwich,
2012-09-01 15:00:00,West Bromwich,Everton,614140,https://www.whoscored.com/Matches/614140/Live/England-Premier-League-2012-2013-West-Bromwich-Everton,
2012-09-01 12:45:00,West Ham,Fulham,614141,https://www.whoscored.com/Matches/614141/Live/England-Premier-League-2012-2013-West-Ham-Fulham,
2012-09-01 15:00:00,Wigan,Stoke,614142,https://www.whoscored.com/Matches/614142/Live/England-Premier-League-2012-2013-Wigan-Stoke,
2012-09-02 13:30:00,Liverpool,Arsenal,614124,https://www.whoscored.com/Matches/614124/Live/England-Premier-League-2012-2013-Liverpool-Arsenal,
2012-09-02 16:00:00,Newcastle,Aston Villa,614126,https://www.whoscored.com/Matches/614126/Live/England-Premier-League-2012-2013-Newcastle-Aston-Villa,
2012-09-02 16:00:00,Southampton,Manchester United,614127,https://www.whoscored.com/Matches/614127/Live/England-Premier-League-2012-2013-Southampton-Manchester-United,
2012-09-15 15:00:00,Arsenal,Southampton,614147,https://www.whoscored.com/Matches/614147/Live/England-Premier-League-2012-2013-Arsenal-Southampton,
2012-09-15 15:00:00,Aston Villa,Swansea,614150,https://www.whoscored.com/Matches/614150/Live/England-Premier-League-2012-2013-Aston-Villa-Swansea,
2012-09-15 15:00:00,Fulham,West Bromwich,614157,https://www.whoscored.com/Matches/614157/Live/England-Premier-League-2012-2013-Fulham-West-Bromwich,
2012-09-15 15:00:00,Manchester United,Wigan,614161,https://www.whoscored.com/Matches/614161/Live/England-Premier-League-2012-2013-Manchester-United-Wigan,
2012-09-15 12:45:00,Norwich,West Ham,614164,https://www.whoscored.com/Matches/614164/Live/England-Premier-League-2012-2013-Norwich-West-Ham,
2012-09-15 15:00:00,Queens Park Rangers,Chelsea,614168,https://www.whoscored.com/Matches/614168/Live/England-Premier-League-2012-2013-Queens-Park-Rangers-Chelsea,
