0,1,2,3
Model:,WLS,Adj. R-squared:,0.073
Dependent Variable:,hra,AIC:,4493.7433
Date:,2023-06-18 12:29,BIC:,4820.0392
No. Observations:,4438,Log-Likelihood:,-2195.9
Df Model:,50,F-statistic:,8.007
Df Residuals:,4387,Prob (F-statistic):,2.85e-53
R-squared:,0.084,Scale:,0.87412
