season,home_team,away_team,player_name,player_rating,starter,home_game,match_id
2014/2015,Arsenal,Crystal Palace,Wojciech Szczesny,5.81,True,True,829513
2014/2015,Arsenal,Crystal Palace,Mathieu Debuchy,7.39,True,True,829513
2014/2015,Arsenal,Crystal Palace,Laurent Koscielny,8.18,True,True,829513
2014/2015,Arsenal,Crystal Palace,Calum Chambers,7.33,True,True,829513
2014/2015,Arsenal,Crystal Palace,Kieran Gibbs,6.21,True,True,829513
2014/2015,Arsenal,Crystal Palace,Mikel Arteta,7.61,True,True,829513
2014/2015,Arsenal,Crystal Palace,Alexis Sánchez,7.80,True,True,829513
2014/2015,Arsenal,Crystal Palace,Jack Wilshere,6.53,True,True,829513
2014/2015,Arsenal,Crystal Palace,Aaron Ramsey,8.10,True,True,829513
2014/2015,Arsenal,Crystal Palace,Santi Cazorla,7.74,True,True,829513
2014/2015,Arsenal,Crystal Palace,Yaya Sanogo,6.42,True,True,829513
2014/2015,Arsenal,Crystal Palace,Olivier Giroud,6.29,False,True,829513
2014/2015,Arsenal,Crystal Palace,Nacho Monreal,6.59,False,True,829513
2014/2015,Arsenal,Crystal Palace,Alex Oxlade-Chamberlain,6.21,False,True,829513
2014/2015,Arsenal,Crystal Palace,Emiliano Martínez,-,False,True,829513
2014/2015,Arsenal,Crystal Palace,Joel Campbell,-,False,True,829513
2014/2015,Arsenal,Crystal Palace,Tomas Rosicky,-,False,True,829513
2014/2015,Arsenal,Crystal Palace,Francis Coquelin,-,False,True,829513
2014/2015,Arsenal,Crystal Palace,Julian Speroni,6.26,True,False,829513
2014/2015,Arsenal,Crystal Palace,Martin Kelly,6.75,True,False,829513
2014/2015,Arsenal,Crystal Palace,Brede Hangeland,7.38,True,False,829513
2014/2015,Arsenal,Crystal Palace,Scott Dann,6.35,True,False,829513
2014/2015,Arsenal,Crystal Palace,Joel Ward,7.32,True,False,829513
2014/2015,Arsenal,Crystal Palace,Jason Puncheon,6.00,True,False,829513
2014/2015,Arsenal,Crystal Palace,Mile Jedinak,7.94,True,False,829513
2014/2015,Arsenal,Crystal Palace,Joe Ledley,6.66,True,False,829513
2014/2015,Arsenal,Crystal Palace,Yannick Bolasie,6.65,True,False,829513
2014/2015,Arsenal,Crystal Palace,Marouane Chamakh,7.38,True,False,829513
2014/2015,Arsenal,Crystal Palace,Fraizer Campbell,6.27,True,False,829513
2014/2015,Arsenal,Crystal Palace,Damien Delaney,6.03,False,False,829513
2014/2015,Arsenal,Crystal Palace,Dwight Gayle,5.91,False,False,829513
2014/2015,Arsenal,Crystal Palace,Stuart O'Keefe,5.90,False,False,829513
2014/2015,Arsenal,Crystal Palace,Paddy McCarthy,-,False,False,829513
2014/2015,Arsenal,Crystal Palace,Glenn Murray,-,False,False,829513
2014/2015,Arsenal,Crystal Palace,Barry Bannan,-,False,False,829513
2014/2015,Arsenal,Crystal Palace,Wayne Hennessey,-,False,False,829513
2014/2015,Leicester,Everton,Kasper Schmeichel,6.39,True,True,829515
2014/2015,Leicester,Everton,Ritchie De Laet,6.99,True,True,829515
2014/2015,Leicester,Everton,Liam Moore,7.01,True,True,829515
2014/2015,Leicester,Everton,Wes Morgan,7.24,True,True,829515
2014/2015,Leicester,Everton,Paul Konchesky,6.51,True,True,829515
2014/2015,Leicester,Everton,Riyad Mahrez,6.96,True,True,829515
2014/2015,Leicester,Everton,Danny Drinkwater,6.24,True,True,829515
2014/2015,Leicester,Everton,Andy King,6.71,True,True,829515
2014/2015,Leicester,Everton,Anthony Knockaert,6.17,True,True,829515
2014/2015,Leicester,Everton,Leonardo Ulloa,7.31,True,True,829515
2014/2015,Leicester,Everton,David Nugent,6.70,True,True,829515
2014/2015,Leicester,Everton,Jeffrey Schlupp,6.18,False,True,829515
2014/2015,Leicester,Everton,Chris Wood,6.96,False,True,829515
2014/2015,Leicester,Everton,Dean Hammond,6.63,False,True,829515
2014/2015,Leicester,Everton,Marcin Wasilewski,-,False,True,829515
2014/2015,Leicester,Everton,Gary Taylor-Fletcher,-,False,True,829515
2014/2015,Leicester,Everton,Tom Hopper,-,False,True,829515
2014/2015,Leicester,Everton,Ben Hamer,-,False,True,829515
2014/2015,Leicester,Everton,Tim Howard,6.03,True,False,829515
2014/2015,Leicester,Everton,John Stones,6.72,True,False,829515
2014/2015,Leicester,Everton,Sylvain Distin,5.88,True,False,829515
2014/2015,Leicester,Everton,Phil Jagielka,6.74,True,False,829515
2014/2015,Leicester,Everton,Leighton Baines,6.90,True,False,829515
2014/2015,Leicester,Everton,James McCarthy,6.81,True,False,829515
2014/2015,Leicester,Everton,Gareth Barry,6.51,True,False,829515
2014/2015,Leicester,Everton,Aiden McGeady,7.53,True,False,829515
2014/2015,Leicester,Everton,Steven Naismith,7.48,True,False,829515
2014/2015,Leicester,Everton,Steven Pienaar,6.97,True,False,829515
