season,home_team,away_team,player_name,player_rating,starter,home_game,match_id
2019/2020,Liverpool,Norwich,Alisson,6.53,True,True,1375927
2019/2020,Liverpool,Norwich,Trent Alexander-Arnold,7.66,True,True,1375927
2019/2020,Liverpool,Norwich,Virgil van Dijk,8.49,True,True,1375927
2019/2020,Liverpool,Norwich,Joe Gomez,6.81,True,True,1375927
2019/2020,Liverpool,Norwich,Andrew Robertson,6.70,True,True,1375927
2019/2020,Liverpool,Norwich,Fabinho,7.97,True,True,1375927
2019/2020,Liverpool,Norwich,Georginio Wijnaldum,6.67,True,True,1375927
2019/2020,Liverpool,Norwich,Jordan Henderson,7.29,True,True,1375927
2019/2020,Liverpool,Norwich,Mohamed Salah,8.30,True,True,1375927
2019/2020,Liverpool,Norwich,Roberto Firmino,8.47,True,True,1375927
2019/2020,Liverpool,Norwich,Divock Origi,8.09,True,True,1375927
2019/2020,Liverpool,Norwich,Sadio Mané,6.12,False,True,1375927
2019/2020,Liverpool,Norwich,Adrián,6.37,False,True,1375927
2019/2020,Liverpool,Norwich,James Milner,6.00,False,True,1375927
2019/2020,Liverpool,Norwich,Joël Matip,-,False,True,1375927
2019/2020,Liverpool,Norwich,Naby Keïta,-,False,True,1375927
2019/2020,Liverpool,Norwich,Xherdan Shaqiri,-,False,True,1375927
2019/2020,Liverpool,Norwich,Alex Oxlade-Chamberlain,-,False,True,1375927
2019/2020,Liverpool,Norwich,Tim Krul,6.59,True,False,1375927
2019/2020,Liverpool,Norwich,Max Aarons,6.83,True,False,1375927
2019/2020,Liverpool,Norwich,Ben Godfrey,6.72,True,False,1375927
2019/2020,Liverpool,Norwich,Grant Hanley,4.99,True,False,1375927
2019/2020,Liverpool,Norwich,Jamal Lewis,6.53,True,False,1375927
2019/2020,Liverpool,Norwich,Tom Trybull,6.19,True,False,1375927
2019/2020,Liverpool,Norwich,Kenny McLean,6.13,True,False,1375927
2019/2020,Liverpool,Norwich,Emiliano Buendía,7.28,True,False,1375927
2019/2020,Liverpool,Norwich,Marco Stiepermann,5.75,True,False,1375927
2019/2020,Liverpool,Norwich,Todd Cantwell,6.40,True,False,1375927
2019/2020,Liverpool,Norwich,Teemu Pukki,7.01,True,False,1375927
2019/2020,Liverpool,Norwich,Onel Hernández,6.16,False,False,1375927
2019/2020,Liverpool,Norwich,Moritz Leitner,6.44,False,False,1375927
2019/2020,Liverpool,Norwich,Josip Drmic,5.98,False,False,1375927
2019/2020,Liverpool,Norwich,Mario Vrancic,-,False,False,1375927
2019/2020,Liverpool,Norwich,Ralf Fährmann,-,False,False,1375927
2019/2020,Liverpool,Norwich,Sam Byram,-,False,False,1375927
2019/2020,Liverpool,Norwich,Patrick Roberts,-,False,False,1375927
2019/2020,Bournemouth,Sheffield United,Aaron Ramsdale,6.30,True,True,1375929
2019/2020,Bournemouth,Sheffield United,Nathan Aké,7.14,True,True,1375929
2019/2020,Bournemouth,Sheffield United,Steve Cook,6.50,True,True,1375929
2019/2020,Bournemouth,Sheffield United,Chris Mepham,7.49,True,True,1375929
