season,home_team,away_team,player_name,player_rating,starter,home_game,match_id
2012/2013,Arsenal,Sunderland,Wojciech Szczesny,6.92,True,True,614051
2012/2013,Arsenal,Sunderland,Carl Jenkinson,7.62,True,True,614051
2012/2013,Arsenal,Sunderland,Thomas Vermaelen,6.83,True,True,614051
2012/2013,Arsenal,Sunderland,Per Mertesacker,6.60,True,True,614051
2012/2013,Arsenal,Sunderland,Kieran Gibbs,7.65,True,True,614051
2012/2013,Arsenal,Sunderland,Abou Diaby,7.56,True,True,614051
2012/2013,Arsenal,Sunderland,Mikel Arteta,7.36,True,True,614051
2012/2013,Arsenal,Sunderland,Theo Walcott,7.19,True,True,614051
2012/2013,Arsenal,Sunderland,Santi Cazorla,8.45,True,True,614051
2012/2013,Arsenal,Sunderland,Gervinho,7.99,True,True,614051
2012/2013,Arsenal,Sunderland,Lukas Podolski,6.25,True,True,614051
2012/2013,Arsenal,Sunderland,Olivier Giroud,5.83,False,True,614051
2012/2013,Arsenal,Sunderland,Andrey Arshavin,6.43,False,True,614051
2012/2013,Arsenal,Sunderland,Aaron Ramsey,6.30,False,True,614051
2012/2013,Arsenal,Sunderland,André Santos,-,False,True,614051
2012/2013,Arsenal,Sunderland,Francis Coquelin,-,False,True,614051
2012/2013,Arsenal,Sunderland,Vito Mannone,-,False,True,614051
2012/2013,Arsenal,Sunderland,Johan Djourou,-,False,True,614051
2012/2013,Arsenal,Sunderland,Simon Mignolet,7.04,True,False,614051
2012/2013,Arsenal,Sunderland,Craig Gardner,7.42,True,False,614051
2012/2013,Arsenal,Sunderland,John O'Shea,7.04,True,False,614051
2012/2013,Arsenal,Sunderland,Carlos Cuellar,7.71,True,False,614051
2012/2013,Arsenal,Sunderland,Kieran Richardson,7.96,True,False,614051
2012/2013,Arsenal,Sunderland,Fraizer Campbell,6.98,True,False,614051
2012/2013,Arsenal,Sunderland,Sebastian Larsson,6.68,True,False,614051
2012/2013,Arsenal,Sunderland,Jack Colback,6.64,True,False,614051
2012/2013,Arsenal,Sunderland,Lee Cattermole,7.31,True,False,614051
2012/2013,Arsenal,Sunderland,James McClean,6.50,True,False,614051
2012/2013,Arsenal,Sunderland,Stéphane Sessegnon,6.24,True,False,614051
2012/2013,Arsenal,Sunderland,Ahmed El Mohamady,6.38,False,False,614051
2012/2013,Arsenal,Sunderland,Louis Saha,6.42,False,False,614051
2012/2013,Arsenal,Sunderland,David Meyler,6.23,False,False,614051
2012/2013,Arsenal,Sunderland,Keiren Westwood,-,False,False,614051
2012/2013,Arsenal,Sunderland,Connor Wickham,-,False,False,614051
2012/2013,Arsenal,Sunderland,Matthew Kilgallon,-,False,False,614051
2012/2013,Arsenal,Sunderland,Titus Bramble,-,False,False,614051
2012/2013,Newcastle,Tottenham,Tim Krul,7.00,True,True,614055
2012/2013,Newcastle,Tottenham,Danny Simpson,6.24,True,True,614055
2012/2013,Newcastle,Tottenham,Steven Taylor,6.53,True,True,614055
2012/2013,Newcastle,Tottenham,James Perch,6.51,True,True,614055
2012/2013,Newcastle,Tottenham,Davide Santon,6.73,True,True,614055
2012/2013,Newcastle,Tottenham,Hatem Ben Arfa,8.13,True,True,614055
2012/2013,Newcastle,Tottenham,Yohan Cabaye,6.57,True,True,614055
2012/2013,Newcastle,Tottenham,Cheick Tioté,6.96,True,True,614055
2012/2013,Newcastle,Tottenham,Jonás Gutiérrez,7.16,True,True,614055
2012/2013,Newcastle,Tottenham,Demba Ba,7.75,True,True,614055
2012/2013,Newcastle,Tottenham,Papiss Cissé,6.27,True,True,614055
2012/2013,Newcastle,Tottenham,Gabriel Obertan,6.00,False,True,614055
2012/2013,Newcastle,Tottenham,Vurnon Anita,5.99,False,True,614055
2012/2013,Newcastle,Tottenham,Shola Ameobi,-,False,True,614055
2012/2013,Newcastle,Tottenham,Steve Harper,-,False,True,614055
2012/2013,Newcastle,Tottenham,Ryan Taylor,-,False,True,614055
