season,home_team,away_team,player_name,player_rating,starter,home_game,match_id
2022/2023,Crystal Palace,Arsenal,Vicente Guaita,6.20,True,True,1640674
2022/2023,Crystal Palace,Arsenal,Nathaniel Clyne,6.15,True,True,1640674
2022/2023,Crystal Palace,Arsenal,Joachim Andersen,7.62,True,True,1640674
2022/2023,Crystal Palace,Arsenal,Marc Guéhi,5.49,True,True,1640674
2022/2023,Crystal Palace,Arsenal,Tyrick Mitchell,6.26,True,True,1640674
2022/2023,Crystal Palace,Arsenal,Jeffrey Schlupp,6.67,True,True,1640674
2022/2023,Crystal Palace,Arsenal,Cheick Doucouré,6.15,True,True,1640674
2022/2023,Crystal Palace,Arsenal,Jordan Ayew,7.10,True,True,1640674
2022/2023,Crystal Palace,Arsenal,Eberechi Eze,6.08,True,True,1640674
2022/2023,Crystal Palace,Arsenal,Wilfried Zaha,6.88,True,True,1640674
2022/2023,Crystal Palace,Arsenal,Odsonne Édouard,5.95,True,True,1640674
2022/2023,Crystal Palace,Arsenal,Jean-Philippe Mateta,5.89,False,True,1640674
2022/2023,Crystal Palace,Arsenal,Luka Milivojevic,5.92,False,True,1640674
2022/2023,Crystal Palace,Arsenal,Will Hughes,5.96,False,True,1640674
2022/2023,Crystal Palace,Arsenal,Malcolm Ebiowei,6.14,False,True,1640674
2022/2023,Crystal Palace,Arsenal,Jairo Riedewald,-,False,True,1640674
2022/2023,Crystal Palace,Arsenal,Chris Richards,-,False,True,1640674
2022/2023,Crystal Palace,Arsenal,Joel Ward,-,False,True,1640674
2022/2023,Crystal Palace,Arsenal,Sam Johnstone,-,False,True,1640674
2022/2023,Crystal Palace,Arsenal,Luke Plange,-,False,True,1640674
2022/2023,Crystal Palace,Arsenal,Aaron Ramsdale,7.18,True,False,1640674
2022/2023,Crystal Palace,Arsenal,Ben White,7.71,True,False,1640674
2022/2023,Crystal Palace,Arsenal,Gabriel Magalhães,7.19,True,False,1640674
2022/2023,Crystal Palace,Arsenal,William Saliba,7.25,True,False,1640674
2022/2023,Crystal Palace,Arsenal,Oleksandr Zinchenko,8.08,True,False,1640674
2022/2023,Crystal Palace,Arsenal,Thomas Partey,7.36,True,False,1640674
2022/2023,Crystal Palace,Arsenal,Martin Ødegaard,6.86,True,False,1640674
2022/2023,Crystal Palace,Arsenal,Granit Xhaka,7.36,True,False,1640674
2022/2023,Crystal Palace,Arsenal,Bukayo Saka,6.65,True,False,1640674
2022/2023,Crystal Palace,Arsenal,Gabriel Jesus,7.22,True,False,1640674
2022/2023,Crystal Palace,Arsenal,Gabriel Martinelli,7.67,True,False,1640674
2022/2023,Crystal Palace,Arsenal,Albert Sambi Lokonga,6.08,False,False,1640674
2022/2023,Crystal Palace,Arsenal,Eddie Nketiah,6.35,False,False,1640674
2022/2023,Crystal Palace,Arsenal,Kieran Tierney,6.38,False,False,1640674
2022/2023,Crystal Palace,Arsenal,Mohamed Elneny,-,False,False,1640674
2022/2023,Crystal Palace,Arsenal,Cédric Soares,-,False,False,1640674
2022/2023,Crystal Palace,Arsenal,Matt Turner,-,False,False,1640674
2022/2023,Crystal Palace,Arsenal,Reiss Nelson,-,False,False,1640674
2022/2023,Crystal Palace,Arsenal,Rob Holding,-,False,False,1640674
2022/2023,Crystal Palace,Arsenal,Nicolas Pépé,-,False,False,1640674
2022/2023,Bournemouth,Aston Villa,Mark Travers,7.46,True,True,1640676
2022/2023,Bournemouth,Aston Villa,Jefferson Lerma,7.80,True,True,1640676
