season,home_team,away_team,player_name,player_rating,starter,home_game,match_id
2009/2010,Aston Villa,Wigan,Brad Friedel,6.29,True,True,317787
2009/2010,Aston Villa,Wigan,Habib Beye,6.44,True,True,317787
2009/2010,Aston Villa,Wigan,Nicky Shorey,5.98,True,True,317787
2009/2010,Aston Villa,Wigan,James Milner,7.10,True,True,317787
2009/2010,Aston Villa,Wigan,Carlos Cuellar,6.46,True,True,317787
2009/2010,Aston Villa,Wigan,Fabian Delph,6.66,True,True,317787
2009/2010,Aston Villa,Wigan,Stiliyan Petrov,6.86,True,True,317787
2009/2010,Aston Villa,Wigan,Curtis Davies,6.61,True,True,317787
2009/2010,Aston Villa,Wigan,Emile Heskey,7.40,True,True,317787
2009/2010,Aston Villa,Wigan,Ashley Young,7.04,True,True,317787
2009/2010,Aston Villa,Wigan,Gabriel Agbonlahor,6.03,True,True,317787
2009/2010,Aston Villa,Wigan,Marc Albrighton,6.34,False,True,317787
2009/2010,Aston Villa,Wigan,Nathan Delfouneso,6.04,False,True,317787
2009/2010,Aston Villa,Wigan,Steve Sidwell,6.30,False,True,317787
2009/2010,Aston Villa,Wigan,Ciaran Clark,-,False,True,317787
2009/2010,Aston Villa,Wigan,Bradley Guzan,-,False,True,317787
2009/2010,Aston Villa,Wigan,Craig Gardner,-,False,True,317787
2009/2010,Aston Villa,Wigan,Nigel Reo-Coker,-,False,True,317787
2009/2010,Aston Villa,Wigan,Chris Kirkland,7.20,True,False,317787
2009/2010,Aston Villa,Wigan,Mario Melchiot,7.81,True,False,317787
2009/2010,Aston Villa,Wigan,Charles N'Zogbia,7.69,True,False,317787
2009/2010,Aston Villa,Wigan,Maynor Figueroa,7.85,True,False,317787
2009/2010,Aston Villa,Wigan,Paul Scharner,7.97,True,False,317787
2009/2010,Aston Villa,Wigan,Hendry Thomas,6.73,True,False,317787
2009/2010,Aston Villa,Wigan,Jordi Gómez,7.65,True,False,317787
2009/2010,Aston Villa,Wigan,Titus Bramble,8.41,True,False,317787
2009/2010,Aston Villa,Wigan,Jason Koumas,8.13,True,False,317787
2009/2010,Aston Villa,Wigan,Hugo Rodallega,8.16,True,False,317787
2009/2010,Aston Villa,Wigan,Michael Brown,7.15,True,False,317787
2009/2010,Aston Villa,Wigan,Jason Scotland,6.00,False,False,317787
2009/2010,Aston Villa,Wigan,Scott Sinclair,6.43,False,False,317787
2009/2010,Aston Villa,Wigan,Cho Won-Hee,6.03,False,False,317787
2009/2010,Aston Villa,Wigan,Emmerson Boyce,-,False,False,317787
2009/2010,Aston Villa,Wigan,Marlon King,-,False,False,317787
2009/2010,Aston Villa,Wigan,Erik Edman,-,False,False,317787
2009/2010,Aston Villa,Wigan,Mike Pollitt,-,False,False,317787
2009/2010,Blackburn,Manchester City,Paul Robinson,6.41,True,True,317790
2009/2010,Blackburn,Manchester City,Lars Jacobsen,6.59,True,True,317790
2009/2010,Blackburn,Manchester City,Christopher Samba,7.85,True,True,317790
2009/2010,Blackburn,Manchester City,Gaël Givet,6.55,True,True,317790
2009/2010,Blackburn,Manchester City,Stephen Warnock,6.45,True,True,317790
2009/2010,Blackburn,Manchester City,El Hadji Diouf,6.73,True,True,317790
2009/2010,Blackburn,Manchester City,Steven Nzonzi,6.56,True,True,317790
2009/2010,Blackburn,Manchester City,Keith Andrews,6.28,True,True,317790
2009/2010,Blackburn,Manchester City,Morten Pedersen,6.85,True,True,317790
2009/2010,Blackburn,Manchester City,Jason Roberts,6.37,True,True,317790
2009/2010,Blackburn,Manchester City,Benni McCarthy,6.74,True,True,317790
2009/2010,Blackburn,Manchester City,Franco Di Santo,5.86,False,True,317790
2009/2010,Blackburn,Manchester City,Junior Hoilett,5.93,False,True,317790
