season,home_team,away_team,player_name,player_rating,starter,home_game,match_id
2011/2012,Blackburn,Wolverhampton,Paul Robinson,6.91,True,True,505326
2011/2012,Blackburn,Wolverhampton,Míchel Salgado,6.10,True,True,505326
2011/2012,Blackburn,Wolverhampton,Junior Hoilett,6.22,True,True,505326
2011/2012,Blackburn,Wolverhampton,Martin Olsson,6.85,True,True,505326
2011/2012,Blackburn,Wolverhampton,Steven Nzonzi,6.51,True,True,505326
2011/2012,Blackburn,Wolverhampton,David Dunn,7.01,True,True,505326
2011/2012,Blackburn,Wolverhampton,Brett Emerton,6.20,True,True,505326
2011/2012,Blackburn,Wolverhampton,Grant Hanley,6.28,True,True,505326
2011/2012,Blackburn,Wolverhampton,Jason Roberts,6.77,True,True,505326
2011/2012,Blackburn,Wolverhampton,Mauro Formica,7.09,True,True,505326
2011/2012,Blackburn,Wolverhampton,Morten Pedersen,7.06,True,True,505326
2011/2012,Blackburn,Wolverhampton,Rubén Rochina,6.76,False,True,505326
2011/2012,Blackburn,Wolverhampton,Nick Blackman,5.99,False,True,505326
2011/2012,Blackburn,Wolverhampton,David Goodwillie,6.34,False,True,505326
2011/2012,Blackburn,Wolverhampton,Bruno Ribeiro,-,False,True,505326
2011/2012,Blackburn,Wolverhampton,Mark Bunn,-,False,True,505326
2011/2012,Blackburn,Wolverhampton,Myles Anderson,-,False,True,505326
2011/2012,Blackburn,Wolverhampton,Adam Henley,-,False,True,505326
2011/2012,Blackburn,Wolverhampton,Wayne Hennessey,6.74,True,False,505326
2011/2012,Blackburn,Wolverhampton,Richard Stearman,6.46,True,False,505326
2011/2012,Blackburn,Wolverhampton,Stephen Ward,7.47,True,False,505326
2011/2012,Blackburn,Wolverhampton,Matthew Jarvis,7.92,True,False,505326
2011/2012,Blackburn,Wolverhampton,Roger Johnson,7.74,True,False,505326
2011/2012,Blackburn,Wolverhampton,Jamie O'Hara,6.30,True,False,505326
2011/2012,Blackburn,Wolverhampton,Karl Henry,6.58,True,False,505326
2011/2012,Blackburn,Wolverhampton,Christophe Berra,6.88,True,False,505326
2011/2012,Blackburn,Wolverhampton,Steven Fletcher,7.43,True,False,505326
2011/2012,Blackburn,Wolverhampton,Stephen Hunt,7.13,True,False,505326
2011/2012,Blackburn,Wolverhampton,Kevin Doyle,6.49,True,False,505326
2011/2012,Blackburn,Wolverhampton,Stefan Maierhofer,5.95,False,False,505326
2011/2012,Blackburn,Wolverhampton,George Elokobi,6.22,False,False,505326
2011/2012,Blackburn,Wolverhampton,Kevin Foley,6.52,False,False,505326
2011/2012,Blackburn,Wolverhampton,Dorus de Vries,-,False,False,505326
2011/2012,Blackburn,Wolverhampton,Nenad Milijas,-,False,False,505326
2011/2012,Blackburn,Wolverhampton,Sylvan Ebanks-Blake,-,False,False,505326
2011/2012,Blackburn,Wolverhampton,Adam Hammill,-,False,False,505326
2011/2012,Fulham,Aston Villa,Mark Schwarzer,7.02,True,True,505327
2011/2012,Fulham,Aston Villa,Aaron Hughes,6.93,True,True,505327
2011/2012,Fulham,Aston Villa,Damien Duff,6.60,True,True,505327
2011/2012,Fulham,Aston Villa,John Arne Riise,6.80,True,True,505327
2011/2012,Fulham,Aston Villa,Philippe Senderos,6.69,True,True,505327
2011/2012,Fulham,Aston Villa,Dickson Etuhu,6.90,True,True,505327
2011/2012,Fulham,Aston Villa,Brede Hangeland,7.02,True,True,505327
2011/2012,Fulham,Aston Villa,Danny Murphy,7.22,True,True,505327
2011/2012,Fulham,Aston Villa,Bobby Zamora,6.77,True,True,505327
2011/2012,Fulham,Aston Villa,Clint Dempsey,7.22,True,True,505327
2011/2012,Fulham,Aston Villa,Andrew Johnson,6.88,True,True,505327
2011/2012,Fulham,Aston Villa,Mousa Dembélé,6.06,False,True,505327
2011/2012,Fulham,Aston Villa,Stephen Kelly,-,False,True,505327
2011/2012,Fulham,Aston Villa,Neil Etheridge,-,False,True,505327
2011/2012,Fulham,Aston Villa,Pajtim Kasami,-,False,True,505327
2011/2012,Fulham,Aston Villa,Steve Sidwell,-,False,True,505327
2011/2012,Fulham,Aston Villa,Matthew Briggs,-,False,True,505327
2011/2012,Fulham,Aston Villa,Chris Baird,-,False,True,505327
2011/2012,Fulham,Aston Villa,Shay Given,7.98,True,False,505327
2011/2012,Fulham,Aston Villa,Luke Young,6.60,True,False,505327
2011/2012,Fulham,Aston Villa,Charles N'Zogbia,6.65,True,False,505327
2011/2012,Fulham,Aston Villa,Stephen Warnock,7.51,True,False,505327
2011/2012,Fulham,Aston Villa,James Collins,7.38,True,False,505327
2011/2012,Fulham,Aston Villa,Stiliyan Petrov,7.12,True,False,505327
2011/2012,Fulham,Aston Villa,Richard Dunne,7.37,True,False,505327
2011/2012,Fulham,Aston Villa,Fabian Delph,7.04,True,False,505327
2011/2012,Fulham,Aston Villa,Darren Bent,6.34,True,False,505327
