season,home_team,away_team,player_name,player_rating,starter,home_game,match_id
2015/2016,Bournemouth,Aston Villa,Artur Boruc,6.56,True,True,958427
2015/2016,Bournemouth,Aston Villa,Simon Francis,7.06,True,True,958427
2015/2016,Bournemouth,Aston Villa,Tommy Elphick,6.79,True,True,958427
2015/2016,Bournemouth,Aston Villa,Steve Cook,6.87,True,True,958427
2015/2016,Bournemouth,Aston Villa,Charlie Daniels,6.64,True,True,958427
2015/2016,Bournemouth,Aston Villa,Matt Ritchie,6.34,True,True,958427
2015/2016,Bournemouth,Aston Villa,Andrew Surman,7.01,True,True,958427
2015/2016,Bournemouth,Aston Villa,Dan Gosling,5.86,True,True,958427
2015/2016,Bournemouth,Aston Villa,Marc Pugh,6.75,True,True,958427
2015/2016,Bournemouth,Aston Villa,Joshua King,6.01,True,True,958427
2015/2016,Bournemouth,Aston Villa,Callum Wilson,5.89,True,True,958427
2015/2016,Bournemouth,Aston Villa,Yann Kermorgant,6.13,False,True,958427
2015/2016,Bournemouth,Aston Villa,Eunan O'Kane,6.00,False,True,958427
2015/2016,Bournemouth,Aston Villa,Max-Alain Gradel,6.09,False,True,958427
2015/2016,Bournemouth,Aston Villa,Adam Federici,-,False,True,958427
2015/2016,Bournemouth,Aston Villa,Sylvain Distin,-,False,True,958427
2015/2016,Bournemouth,Aston Villa,Adam Smith,-,False,True,958427
2015/2016,Bournemouth,Aston Villa,Tyrone Mings,-,False,True,958427
2015/2016,Bournemouth,Aston Villa,Bradley Guzan,7.37,True,False,958427
2015/2016,Bournemouth,Aston Villa,Leandro Bacuna,6.80,True,False,958427
2015/2016,Bournemouth,Aston Villa,Ciaran Clark,8.12,True,False,958427
2015/2016,Bournemouth,Aston Villa,Micah Richards,8.12,True,False,958427
2015/2016,Bournemouth,Aston Villa,Jordan Amavi,8.31,True,False,958427
2015/2016,Bournemouth,Aston Villa,Jordan Veretout,7.07,True,False,958427
2015/2016,Bournemouth,Aston Villa,Idrissa Gueye,7.63,True,False,958427
2015/2016,Bournemouth,Aston Villa,Ashley Westwood,7.25,True,False,958427
2015/2016,Bournemouth,Aston Villa,Jordan Ayew,6.51,True,False,958427
2015/2016,Bournemouth,Aston Villa,Gabriel Agbonlahor,6.85,True,False,958427
2015/2016,Bournemouth,Aston Villa,Scott Sinclair,6.63,True,False,958427
2015/2016,Bournemouth,Aston Villa,Rudy Gestede,7.45,False,False,958427
2015/2016,Bournemouth,Aston Villa,Carlos Sánchez,6.30,False,False,958427
2015/2016,Bournemouth,Aston Villa,Kieran Richardson,6.02,False,False,958427
2015/2016,Bournemouth,Aston Villa,Nathan Baker,-,False,False,958427
2015/2016,Bournemouth,Aston Villa,Joe Cole,-,False,False,958427
2015/2016,Bournemouth,Aston Villa,Mark Bunn,-,False,False,958427
2015/2016,Bournemouth,Aston Villa,Alan Hutton,-,False,False,958427
