season,home_team,away_team,player_name,player_rating,starter,home_game,match_id
2018/2019,Manchester United,Leicester,David de Gea,6.94,True,True,1284746
2018/2019,Manchester United,Leicester,Matteo Darmian,7.07,True,True,1284746
2018/2019,Manchester United,Leicester,Victor Lindelöf,6.75,True,True,1284746
2018/2019,Manchester United,Leicester,Eric Bailly,7.06,True,True,1284746
2018/2019,Manchester United,Leicester,Luke Shaw,8.24,True,True,1284746
2018/2019,Manchester United,Leicester,Fred,6.68,True,True,1284746
2018/2019,Manchester United,Leicester,Andreas Pereira,7.49,True,True,1284746
2018/2019,Manchester United,Leicester,Paul Pogba,8.37,True,True,1284746
2018/2019,Manchester United,Leicester,Juan Mata,7.64,True,True,1284746
2018/2019,Manchester United,Leicester,Marcus Rashford,6.71,True,True,1284746
2018/2019,Manchester United,Leicester,Alexis Sánchez,6.82,True,True,1284746
2018/2019,Manchester United,Leicester,Romelu Lukaku,6.10,False,True,1284746
2018/2019,Manchester United,Leicester,Marouane Fellaini,6.00,False,True,1284746
2018/2019,Manchester United,Leicester,Scott McTominay,6.04,False,True,1284746
2018/2019,Manchester United,Leicester,Anthony Martial,-,False,True,1284746
2018/2019,Manchester United,Leicester,Chris Smalling,-,False,True,1284746
2018/2019,Manchester United,Leicester,Ashley Young,-,False,True,1284746
2018/2019,Manchester United,Leicester,Lee Grant,-,False,True,1284746
2018/2019,Manchester United,Leicester,Kasper Schmeichel,6.64,True,False,1284746
2018/2019,Manchester United,Leicester,Daniel Amartey,5.79,True,False,1284746
2018/2019,Manchester United,Leicester,Wes Morgan,6.36,True,False,1284746
2018/2019,Manchester United,Leicester,Harry Maguire,5.99,True,False,1284746
2018/2019,Manchester United,Leicester,Ben Chilwell,6.43,True,False,1284746
2018/2019,Manchester United,Leicester,Wilfred Ndidi,6.87,True,False,1284746
2018/2019,Manchester United,Leicester,Adrien Silva,6.14,True,False,1284746
2018/2019,Manchester United,Leicester,Ricardo Pereira,6.94,True,False,1284746
2018/2019,Manchester United,Leicester,James Maddison,6.40,True,False,1284746
2018/2019,Manchester United,Leicester,Demarai Gray,7.43,True,False,1284746
2018/2019,Manchester United,Leicester,Kelechi Iheanacho,5.90,True,False,1284746
2018/2019,Manchester United,Leicester,Rachid Ghezzal,6.11,False,False,1284746
2018/2019,Manchester United,Leicester,Vicente Iborra,6.24,False,False,1284746
2018/2019,Manchester United,Leicester,Jamie Vardy,6.87,False,False,1284746
2018/2019,Manchester United,Leicester,Christian Fuchs,-,False,False,1284746
